component,npv_cost
FuelCostsPerTP,16153628.67867232
GenVariableOMCostsInTP,11376362.17100936
LocalTDFixedCosts,20249863.37972583
TotalGenFixedCosts,75433533.42446828
TxFixedCosts,3537104.452907968
