load_zone,technology,period,capacity
inside_lvliang,wind9,2030,154.388654
inside_lvliang,wind9,2035,154.388654
inside_lvliang,hydro,2020,0.0
inside_lvliang,hydro,2025,0.0
inside_lvliang,hydro,2030,0.0
inside_lvliang,hydro,2035,0.0
inside_lvliang,fuel cells,2020,0.0
inside_lvliang,fuel cells,2025,0.0
inside_lvliang,fuel cells,2030,0.0
inside_lvliang,fuel cells,2035,0.0
outside_lvliang,PV1,2020,0.0
outside_lvliang,PV1,2025,0.0
outside_lvliang,PV1,2030,0.0
outside_lvliang,PV1,2035,0.0
outside_lvliang,PV10,2020,0.0
outside_lvliang,PV10,2025,0.0
outside_lvliang,PV10,2030,0.0
outside_lvliang,PV10,2035,0.0
outside_lvliang,PV11,2020,0.0
outside_lvliang,PV11,2025,0.0
outside_lvliang,PV11,2030,0.0
outside_lvliang,PV11,2035,0.0
outside_lvliang,PV2,2020,0.0
outside_lvliang,PV2,2025,0.0
outside_lvliang,PV2,2030,0.0
outside_lvliang,PV2,2035,0.0
outside_lvliang,PV3,2020,0.0
outside_lvliang,PV3,2025,0.0
outside_lvliang,PV3,2030,0.0
outside_lvliang,PV3,2035,0.0
outside_lvliang,PV4,2020,0.0
outside_lvliang,PV4,2025,0.0
outside_lvliang,PV4,2030,0.0
outside_lvliang,PV4,2035,0.0
outside_lvliang,PV5,2020,0.0
outside_lvliang,PV5,2025,0.0
outside_lvliang,PV5,2030,0.0
outside_lvliang,PV5,2035,0.0
outside_lvliang,PV6,2020,0.0
outside_lvliang,PV6,2025,0.0
outside_lvliang,PV6,2030,0.0
outside_lvliang,PV6,2035,0.0
outside_lvliang,PV7,2020,0.0
outside_lvliang,PV7,2025,0.0
outside_lvliang,PV7,2030,0.0
outside_lvliang,PV7,2035,0.0
outside_lvliang,PV8,2020,0.0
outside_lvliang,PV8,2025,0.0
outside_lvliang,PV8,2030,0.0
outside_lvliang,PV8,2035,0.0
outside_lvliang,PV9,2020,0.0
outside_lvliang,PV9,2025,0.0
outside_lvliang,PV9,2030,0.0
outside_lvliang,PV9,2035,0.0
outside_lvliang,coal1,2020,0.0
outside_lvliang,coal1,2025,0.0
outside_lvliang,coal1,2030,0.0
outside_lvliang,coal1,2035,0.0
outside_lvliang,coal10,2020,0.0
outside_lvliang,coal10,2025,0.0
outside_lvliang,coal10,2030,0.0
outside_lvliang,coal10,2035,0.0
outside_lvliang,coal11,2020,0.0
outside_lvliang,coal11,2025,0.0
outside_lvliang,coal11,2030,0.0
outside_lvliang,coal11,2035,0.0
outside_lvliang,coal12,2020,0.0
outside_lvliang,coal12,2025,0.0
outside_lvliang,coal12,2030,0.0
outside_lvliang,coal12,2035,0.0
outside_lvliang,coal13,2020,0.0
outside_lvliang,coal13,2025,0.0
outside_lvliang,coal13,2030,0.0
outside_lvliang,coal13,2035,0.0
outside_lvliang,coal14,2020,0.0
outside_lvliang,coal14,2025,0.0
outside_lvliang,coal14,2030,0.0
outside_lvliang,coal14,2035,0.0
outside_lvliang,coal15,2020,0.0
outside_lvliang,coal15,2025,0.0
outside_lvliang,coal15,2030,0.0
outside_lvliang,coal15,2035,0.0
outside_lvliang,coal16,2020,0.0
outside_lvliang,coal16,2025,0.0
outside_lvliang,coal16,2030,0.0
outside_lvliang,coal16,2035,0.0
outside_lvliang,coal17,2020,0.0
outside_lvliang,coal17,2025,0.0
outside_lvliang,coal17,2030,0.0
outside_lvliang,coal17,2035,0.0
outside_lvliang,coal2,2020,0.0
outside_lvliang,coal2,2025,0.0
outside_lvliang,coal2,2030,0.0
outside_lvliang,coal2,2035,0.0
outside_lvliang,coal3,2020,0.0
outside_lvliang,coal3,2025,0.0
outside_lvliang,coal3,2030,0.0
outside_lvliang,coal3,2035,0.0
outside_lvliang,coal4,2020,0.0
outside_lvliang,coal4,2025,0.0
outside_lvliang,coal4,2030,0.0
outside_lvliang,coal4,2035,0.0
outside_lvliang,coal5,2020,0.0
outside_lvliang,coal5,2025,0.0
outside_lvliang,coal5,2030,0.0
outside_lvliang,coal5,2035,0.0
outside_lvliang,coal6,2020,0.0
outside_lvliang,coal6,2025,0.0
outside_lvliang,coal6,2030,0.0
outside_lvliang,coal6,2035,0.0
outside_lvliang,coal7,2020,0.0
outside_lvliang,coal7,2025,0.0
outside_lvliang,coal7,2030,0.0
outside_lvliang,coal7,2035,0.0
outside_lvliang,coal8,2020,0.0
outside_lvliang,coal8,2025,0.0
outside_lvliang,coal8,2030,0.0
outside_lvliang,coal8,2035,0.0
outside_lvliang,coal9,2020,0.0
outside_lvliang,coal9,2025,0.0
outside_lvliang,coal9,2030,0.0
outside_lvliang,coal9,2035,0.0
outside_lvliang,outside,2020,10000.0
outside_lvliang,outside,2025,10000.0
outside_lvliang,outside,2030,10000.0
outside_lvliang,outside,2035,10000.0
outside_lvliang,wind1,2020,0.0
outside_lvliang,wind1,2025,0.0
outside_lvliang,wind1,2030,0.0
outside_lvliang,wind1,2035,0.0
outside_lvliang,wind10,2020,0.0
outside_lvliang,wind10,2025,0.0
outside_lvliang,wind10,2030,0.0
outside_lvliang,wind10,2035,0.0
outside_lvliang,wind11,2020,0.0
outside_lvliang,wind11,2025,0.0
outside_lvliang,wind11,2030,0.0
outside_lvliang,wind11,2035,0.0
outside_lvliang,wind2,2020,0.0
outside_lvliang,wind2,2025,0.0
outside_lvliang,wind2,2030,0.0
outside_lvliang,wind2,2035,0.0
outside_lvliang,wind3,2020,0.0
outside_lvliang,wind3,2025,0.0
outside_lvliang,wind3,2030,0.0
outside_lvliang,wind3,2035,0.0
outside_lvliang,wind4,2020,0.0
outside_lvliang,wind4,2025,0.0
outside_lvliang,wind4,2030,0.0
outside_lvliang,wind4,2035,0.0
outside_lvliang,wind5,2020,0.0
outside_lvliang,wind5,2025,0.0
outside_lvliang,wind5,2030,0.0
outside_lvliang,wind5,2035,0.0
outside_lvliang,wind6,2020,0.0
outside_lvliang,wind6,2025,0.0
outside_lvliang,wind6,2030,0.0
outside_lvliang,wind6,2035,0.0
outside_lvliang,wind7,2020,0.0
outside_lvliang,wind7,2025,0.0
outside_lvliang,wind7,2030,0.0
outside_lvliang,wind7,2035,0.0
outside_lvliang,wind8,2020,0.0
outside_lvliang,wind8,2025,0.0
outside_lvliang,wind8,2030,0.0
outside_lvliang,wind8,2035,0.0
outside_lvliang,wind9,2020,0.0
outside_lvliang,wind9,2025,0.0
outside_lvliang,wind9,2030,0.0
outside_lvliang,wind9,2035,0.0
outside_lvliang,hydro,2020,0.0
outside_lvliang,hydro,2025,0.0
outside_lvliang,hydro,2030,0.0
outside_lvliang,hydro,2035,0.0
outside_lvliang,fuel cells,2020,0.0
outside_lvliang,fuel cells,2025,0.0
outside_lvliang,fuel cells,2030,0.0
outside_lvliang,fuel cells,2035,0.0
