period,timepoint_label,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,outside_coal,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
2020,20200100,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.35412660027965,3.948868055145652,0.0,1.4901097277276427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,20200101,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.95851203645192,3.8143380083148286,1.9217512828188987,1.4145446309209815,0.0,3.482780409503157,0.0,0.0,10.130823269226852,13.530716840373538,20.01457139138413
2020,20200102,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.38249080005643,0.0,1.8868314453336679,1.317202212746712,53.44483645798411,3.246260084785035,0.0,13.972614398060928,9.694806492085204,13.41780429500928,19.5392780159636
2020,20200103,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.806469563660954,0.0,1.8519116078484372,1.2198597703581995,51.45332598388361,3.009739704564407,34.10851052201568,13.498264604881516,9.258789714943557,0.0,0.0
2020,20200104,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.23044850740256,3.5258836467678716,1.8169917703632066,1.1225173279696872,49.4618155097831,2.7732193243437786,32.67358277950098,13.023914811702102,8.82277293780191,13.191979533235937,18.588691265122538
2020,20200105,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,3.1972250782687275,0.0,0.0020134933314264456,0.0,6.129434265930173,1.1018978338953356,3.5335115956662304,0.0018705604699258496,0.8431270162607954,0.0,0.35279683231413606,32.15217596436621,3.4569429012988144,1.7465518334100578,0.0,0.0,0.0,32.01723900999491,12.763033411300485,8.689076174002333,0.0,0.0
2020,20200106,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,6.394450156537455,2.9926903715268622,0.004026986662852891,0.0037943611122945343,12.258868531860346,0.0,7.067023191332461,0.003741120939851699,1.6862540785285292,3.559154250688564,0.7055936646282721,0.0,0.0,1.6761119129204851,1.1004852485540129,0.0,2.7009565036614145,31.360895240488844,0.0,8.555379321505075,14.14221998927409,17.592731690674164
2020,20200107,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,9.591675234806184,4.489035557290294,0.0,0.0,0.0,3.3056934385123005,10.60053478699869,0.005611681409777548,2.5293810947893247,5.338731421353113,1.0583904969424083,0.0,0.0,1.6056719924309122,0.0,43.338016925356875,2.664825093320232,0.0,12.241270698843424,8.42168246900782,14.617340135054375,17.094751826718817
2020,20200108,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,31.483658892706465,14.3948685944822,0.0,0.018212414447331193,0.0,0.0,8.173517995998509,0.0181940236445074,7.889821130502516,0.0,3.39391210666444,34.88135741732017,4.13732564834522,1.9119167162762682,0.0,51.855764215456176,3.7430197859699534,0.0,0.0,0.0,0.0,0.0
2020,20200109,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0.0,0.0,0.0,0.0,109.29599999999999,87.76668125159235,0.0,0.0,53.349158425842575,24.288377071240003,0.031745320139304575,0.0,97.37576272330305,17.841002651787104,0.0,0.030760898984263756,0.0,0.0,5.726527925715854,0.0,0.0,0.0,0.0,60.611466174962636,0.0,45.50421117939415,19.566552680198132,0.0,0.0,24.346607564464993
