GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
s4,2035,PV4,inside_lvliang,Solar,64.463,0,.,1.63987e+06,860581
s5,2020,PV5,inside_lvliang,Solar,191.988,0,.,4.88395e+06,2.56303e+06
s5,2025,PV5,inside_lvliang,Solar,191.988,0,.,4.88395e+06,2.56303e+06
s5,2030,PV5,inside_lvliang,Solar,191.988,0,.,4.88395e+06,2.56303e+06
s5,2035,PV5,inside_lvliang,Solar,191.988,0,.,4.88395e+06,2.56303e+06
s6,2020,PV6,inside_lvliang,Solar,0.111279,0,.,2830.81,1485.57
s6,2025,PV6,inside_lvliang,Solar,0.111279,0,.,2830.81,1485.57
s6,2030,PV6,inside_lvliang,Solar,0.111279,0,.,2830.81,1485.57
s6,2035,PV6,inside_lvliang,Solar,0.111279,0,.,2830.81,1485.57
s7,2020,PV7,inside_lvliang,Solar,46.9459,0,.,1.19425e+06,626727
s7,2025,PV7,inside_lvliang,Solar,46.9459,0,.,1.19425e+06,626727
s7,2030,PV7,inside_lvliang,Solar,46.9459,0,.,1.19425e+06,626727
s7,2035,PV7,inside_lvliang,Solar,46.9459,0,.,1.19425e+06,626727
s8,2020,PV8,inside_lvliang,Solar,92.4903,0,.,2.35285e+06,1.23475e+06
s8,2025,PV8,inside_lvliang,Solar,92.4903,0,.,2.35285e+06,1.23475e+06
s8,2030,PV8,inside_lvliang,Solar,92.4903,0,.,2.35285e+06,1.23475e+06
s8,2035,PV8,inside_lvliang,Solar,92.4903,0,.,2.35285e+06,1.23475e+06
s9,2020,PV9,inside_lvliang,Solar,20.3198,0,.,516914,271270
s9,2025,PV9,inside_lvliang,Solar,20.3198,0,.,516914,271270
s9,2030,PV9,inside_lvliang,Solar,20.3198,0,.,516914,271270
s9,2035,PV9,inside_lvliang,Solar,20.3198,0,.,516914,271270
w1,2020,wind1,inside_lvliang,Wind,181.224,0,.,9.22885e+06,4.86588e+06
w1,2025,wind1,inside_lvliang,Wind,181.224,0,.,9.22885e+06,4.86588e+06
w1,2030,wind1,inside_lvliang,Wind,181.224,0,.,9.22885e+06,4.86588e+06
