load_zone,period,Coal,Solar,Wind,hydro,fuel cells
inside_lvliang,2020,3805.0,1046.4562499480003,1532.15500009,0,0
inside_lvliang,2025,4505.0,1046.4562499480003,1532.15500009,0,0
inside_lvliang,2030,4505.0,1046.4562499480003,1532.15500009,0,0
inside_lvliang,2035,4505.0,1046.4562499480003,1532.15500009,0,0
outside_lvliang,2020,10000.0,0,0,0,0
outside_lvliang,2025,10000.0,0,0,0,0
outside_lvliang,2030,10000.0,0,0,0,0
outside_lvliang,2035,10000.0,0,0,0,0
