component,npv_cost
CogenFixedCost,1863380836.54288
FuelCostsPerTP,13888995530.41489
GenVariableOMCostsInTP,144555703.3407703
LocalTDFixedCosts,3266528789.243247
TotalGenFixedCosts,11314989261.02426
TxFixedCosts,170517732.0635791
