load_zone,period,PV1,PV10,PV11,PV2,PV3,PV4,PV5,PV6,PV7,PV8,PV9,coal1,coal10,coal11,coal12,coal13,coal14,coal15,coal16,coal17,coal2,coal3,coal4,coal5,coal6,coal7,coal8,coal9,outside,wind1,wind10,wind11,wind2,wind3,wind4,wind5,wind6,wind7,wind8,wind9,hydro,fuel cells
inside_lvliang,2020,194.7902658,86.18418237,0.112159554,0.11098841,348.9408359,64.46296567,191.9875282,0.111278694,46.94585543,92.49034205,20.31984787,300.0,600.0,135.0,135.0,135.0,50.0,50.0,0.0,0.0,300.0,350.0,350.0,300.0,300.0,100.0,100.0,600.0,0.0,181.2244406,40.19400551,16.56295377,24.36040519,338.8355107,55.83753191,377.1685598,88.8794533,89.23307921,165.4704061,154.388654,0.0,0.0
inside_lvliang,2025,194.7902658,86.18418237,0.112159554,0.11098841,348.9408359,64.46296567,191.9875282,0.111278694,46.94585543,92.49034205,20.31984787,300.0,600.0,135.0,135.0,135.0,50.0,50.0,350.0,350.0,300.0,350.0,350.0,300.0,300.0,100.0,100.0,600.0,0.0,181.2244406,40.19400551,16.56295377,24.36040519,338.8355107,55.83753191,377.1685598,88.8794533,89.23307921,165.4704061,154.388654,0.0,0.0
inside_lvliang,2030,194.7902658,86.18418237,0.112159554,0.11098841,348.9408359,64.46296567,191.9875282,0.111278694,46.94585543,92.49034205,20.31984787,300.0,600.0,135.0,135.0,135.0,50.0,50.0,350.0,350.0,300.0,350.0,350.0,300.0,300.0,100.0,100.0,600.0,0.0,181.2244406,40.19400551,16.56295377,24.36040519,338.8355107,55.83753191,377.1685598,88.8794533,89.23307921,165.4704061,154.388654,0.0,0.0
inside_lvliang,2035,194.7902658,86.18418237,0.112159554,0.11098841,348.9408359,64.46296567,191.9875282,0.111278694,46.94585543,92.49034205,20.31984787,300.0,600.0,135.0,135.0,135.0,50.0,50.0,350.0,350.0,300.0,350.0,350.0,300.0,300.0,100.0,100.0,600.0,0.0,181.2244406,40.19400551,16.56295377,24.36040519,338.8355107,55.83753191,377.1685598,88.8794533,89.23307921,165.4704061,154.388654,0.0,0.0
outside_lvliang,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_lvliang,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_lvliang,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_lvliang,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
