PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,1915070510.4325044,30550324.752947997,62.68576605712536
2025,1941672496.7418156,30550324.752947997,63.556525583396656
2030,1951007120.8805006,30550324.752947997,63.86207468031041
2035,2035343402.1972756,30550324.752947997,66.62264374131972
