PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,8273721444.879744,1911021140.5006204,12.510643706438595,152751623.76474
2025,6597298690.887071,1944810267.3937557,12.73184676837904,152751623.76474
2030,5186792189.193327,1951445537.1709397,12.7752850612996,152751623.76474
2035,4377207715.881079,2101847673.5101922,13.759903965062573,152751623.76474
