PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,1915045184.4918046,30550324.752947997,62.684937066242135
2025,1941647170.8011158,30550324.752947997,63.55569659251343
2030,1950981794.9398005,30550324.752947997,63.86124568942717
2035,2035316925.0774534,30550324.752947997,66.62177706903272
