gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
13,inside_lvliang,Coal,2030,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
13,inside_lvliang,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
14,inside_lvliang,Coal,2020,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
14,inside_lvliang,Coal,2025,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
14,inside_lvliang,Coal,2030,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
14,inside_lvliang,Coal,2035,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,inside_lvliang,Coal,2020,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,inside_lvliang,Coal,2025,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,inside_lvliang,Coal,2030,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,inside_lvliang,Coal,2035,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
16,inside_lvliang,Coal,2025,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
16,inside_lvliang,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
16,inside_lvliang,Coal,2035,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
17,inside_lvliang,Coal,2025,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
17,inside_lvliang,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
17,inside_lvliang,Coal,2035,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
Central_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,inside_lvliang,Wind,2020,2759.4315238513386,0.0,0.0,666.3131211627394,102514903.4642143,37102152.16088086,50.59631102214547,0.4724325251936319
Wind,inside_lvliang,Wind,2025,2153.6668321337243,0.0,0.0,666.3131211627394,102514903.4642143,37102152.16088086,64.82760171719363,0.3687216918181151
Wind,inside_lvliang,Wind,2030,23003.51082676664,0.0,0.0,3730.2972819759116,574864679.8026893,208072468.33425584,34.03555022679094,0.7034758834567638
Wind,inside_lvliang,Wind,2035,23003.510826766636,0.0,0.0,3730.2972819759116,574864679.8026893,208072468.33425584,34.035550226790946,0.7034758834567637
outside,outside_lvliang,Coal,2020,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside,outside_lvliang,Coal,2025,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside,outside_lvliang,Coal,2030,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside,outside_lvliang,Coal,2035,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
