component,npv_cost
CogenFixedCost,1049283678.116156
EmissionsCosts,0
FuelCostsPerTP,5451875957.164675
GenVariableOMCostsInTP,58005892.21351003
LocalTDFixedCosts,2457748226.337954
TotalGenFixedCosts,60180125383.65796
TxFixedCosts,465063.2417209229
