PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,5436937566.515576,21784324.752947994,249.58026600203962
2025,5655091893.269494,21784324.752947994,259.5945459592091
2030,5584857078.767756,21784324.752947994,256.3704471956138
2035,5584857078.767756,21784324.752947994,256.3704471956138
