GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
G106348,2030,5,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G106348,2035,5,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G106349,2020,6,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G106349,2025,6,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G106349,2030,6,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G106349,2035,6,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G106470,2020,3,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G106470,2025,3,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G106470,2030,3,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G106470,2035,3,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G106471,2020,4,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G106471,2025,4,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G106471,2030,4,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G106471,2035,4,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G109041,2020,1,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G109041,2025,1,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G109041,2030,1,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G109041,2035,1,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G109042,2020,2,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G109042,2025,2,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G109042,2030,2,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G109042,2035,2,inside_lvliang,Coal,300,0,.,8.48178e+07,8.6769e+06
G111092,2020,16,inside_lvliang,Coal,0,0,.,0,0
G111092,2025,16,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G111092,2030,16,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G111092,2035,16,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G111093,2020,17,inside_lvliang,Coal,0,0,.,0,0
G111093,2025,17,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G111093,2030,17,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G111093,2035,17,inside_lvliang,Coal,350,0,.,9.89541e+07,1.0123e+07
G112778,2020,14,inside_lvliang,Coal,50,0,.,1.41363e+07,1.44615e+06
G112778,2025,14,inside_lvliang,Coal,50,0,.,1.41363e+07,1.44615e+06
G112778,2030,14,inside_lvliang,Coal,50,0,.,1.41363e+07,1.44615e+06
G112778,2035,14,inside_lvliang,Coal,50,0,.,1.41363e+07,1.44615e+06
G112779,2020,15,inside_lvliang,Coal,50,0,.,1.41363e+07,1.44615e+06
G112779,2025,15,inside_lvliang,Coal,50,0,.,1.41363e+07,1.44615e+06
G112779,2030,15,inside_lvliang,Coal,50,0,.,1.41363e+07,1.44615e+06
G112779,2035,15,inside_lvliang,Coal,50,0,.,1.41363e+07,1.44615e+06
G114088,2020,11,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114088,2025,11,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114088,2030,11,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114088,2035,11,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114089,2020,12,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114089,2025,12,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114089,2030,12,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114089,2035,12,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114090,2020,13,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114090,2025,13,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114090,2030,13,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
G114090,2035,13,inside_lvliang,Coal,135,0,.,3.8168e+07,3.9046e+06
N-Central_PV-1,2020,Central_PV,inside_lvliang,Solar,0,0,.,0,0
N-Central_PV-1,2025,Central_PV,inside_lvliang,Solar,0,0,.,0,0
N-Central_PV-1,2030,Central_PV,inside_lvliang,Solar,0,0,.,0,0
N-Central_PV-1,2035,Central_PV,inside_lvliang,Solar,0,0,.,0,0
N-Central_PV-2,2020,Central_PV,inside_lvliang,Solar,0,0,.,0,0
N-Central_PV-2,2025,Central_PV,inside_lvliang,Solar,0,0,.,0,0
N-Central_PV-2,2030,Central_PV,inside_lvliang,Solar,0,0,.,0,0
N-Central_PV-2,2035,Central_PV,inside_lvliang,Solar,0,0,.,0,0
N-Commercial_PV,2020,Commercial_PV,inside_lvliang,Solar,0,0,.,0,0
N-Commercial_PV,2025,Commercial_PV,inside_lvliang,Solar,0,0,.,0,0
N-Commercial_PV,2030,Commercial_PV,inside_lvliang,Solar,0,0,.,0,0
N-Commercial_PV,2035,Commercial_PV,inside_lvliang,Solar,0,0,.,0,0
N-Residential_PV,2020,Residential_PV,inside_lvliang,Solar,0,0,.,0,0
N-Residential_PV,2025,Residential_PV,inside_lvliang,Solar,0,0,.,0,0
N-Residential_PV,2030,Residential_PV,inside_lvliang,Solar,0,0,.,0,0
N-Residential_PV,2035,Residential_PV,inside_lvliang,Solar,0,0,.,0,0
N-Wind-1,2020,Wind,inside_lvliang,Wind,658.313,0,.,1.01487e+08,3.67339e+07
N-Wind-1,2025,Wind,inside_lvliang,Wind,658.313,0,.,1.01487e+08,3.67339e+07
N-Wind-1,2030,Wind,inside_lvliang,Wind,3722.3,0,.,5.73837e+08,2.07704e+08
N-Wind-1,2035,Wind,inside_lvliang,Wind,3722.3,0,.,5.73837e+08,2.07704e+08
N-Wind-2,2020,Wind,inside_lvliang,Wind,1,0,.,154860,55800
N-Wind-2,2025,Wind,inside_lvliang,Wind,1,0,.,154860,55800
N-Wind-2,2030,Wind,inside_lvliang,Wind,1,0,.,154860,55800
N-Wind-2,2035,Wind,inside_lvliang,Wind,1,0,.,154860,55800
S-Central_PV-1,2020,Central_PV,inside_lvliang,Solar,0,0,.,0,0
S-Central_PV-1,2025,Central_PV,inside_lvliang,Solar,0,0,.,0,0
S-Central_PV-1,2030,Central_PV,inside_lvliang,Solar,0,0,.,0,0
S-Central_PV-1,2035,Central_PV,inside_lvliang,Solar,0,0,.,0,0
S-Central_PV-2,2020,Central_PV,inside_lvliang,Solar,0,0,.,0,0
S-Central_PV-2,2025,Central_PV,inside_lvliang,Solar,0,0,.,0,0
S-Central_PV-2,2030,Central_PV,inside_lvliang,Solar,0,0,.,0,0
S-Central_PV-2,2035,Central_PV,inside_lvliang,Solar,0,0,.,0,0
S-Commercial_PV,2020,Commercial_PV,inside_lvliang,Solar,0,0,.,0,0
S-Commercial_PV,2025,Commercial_PV,inside_lvliang,Solar,0,0,.,0,0
S-Commercial_PV,2030,Commercial_PV,inside_lvliang,Solar,0,0,.,0,0
S-Commercial_PV,2035,Commercial_PV,inside_lvliang,Solar,0,0,.,0,0
S-Residential_PV,2020,Residential_PV,inside_lvliang,Solar,0,0,.,0,0
S-Residential_PV,2025,Residential_PV,inside_lvliang,Solar,0,0,.,0,0
S-Residential_PV,2030,Residential_PV,inside_lvliang,Solar,0,0,.,0,0
S-Residential_PV,2035,Residential_PV,inside_lvliang,Solar,0,0,.,0,0
outside_coal,2020,outside,outside_lvliang,Coal,10000,0,.,2.82726e+09,2.8923e+08
outside_coal,2025,outside,outside_lvliang,Coal,10000,0,.,2.82726e+09,2.8923e+08
outside_coal,2030,outside,outside_lvliang,Coal,10000,0,.,2.82726e+09,2.8923e+08
outside_coal,2035,outside,outside_lvliang,Coal,10000,0,.,2.82726e+09,2.8923e+08
