LOAD_ZONE,TIMEPOINT,response_time,recover_time
inside_lvliang,1,1,2
inside_lvliang,2,1,2
inside_lvliang,3,1,2
inside_lvliang,4,1,2
inside_lvliang,5,1,2
inside_lvliang,6,1,2
inside_lvliang,7,1,2
inside_lvliang,8,1,2
inside_lvliang,9,1,2
inside_lvliang,10,1,2
inside_lvliang,11,1,2
inside_lvliang,12,1,2
inside_lvliang,13,1,2
inside_lvliang,14,1,2
inside_lvliang,15,1,2
inside_lvliang,16,1,2
inside_lvliang,17,1,2
inside_lvliang,18,1,2
inside_lvliang,19,1,2
inside_lvliang,20,1,2
inside_lvliang,21,1,2
inside_lvliang,22,1,2
inside_lvliang,23,1,2
inside_lvliang,24,1,2
inside_lvliang,25,1,2
inside_lvliang,26,1,2
inside_lvliang,27,1,2
inside_lvliang,28,1,2
inside_lvliang,29,1,2
inside_lvliang,30,1,2
inside_lvliang,31,1,2
inside_lvliang,32,1,2
inside_lvliang,33,1,2
inside_lvliang,34,1,2
inside_lvliang,35,1,2
inside_lvliang,36,1,2
inside_lvliang,37,1,2
inside_lvliang,38,1,2
inside_lvliang,39,1,2
inside_lvliang,40,1,2
inside_lvliang,41,1,2
inside_lvliang,42,1,2
inside_lvliang,43,1,2
inside_lvliang,44,1,2
inside_lvliang,45,1,2
inside_lvliang,46,1,2
inside_lvliang,47,1,2
inside_lvliang,48,1,2
inside_lvliang,49,1,2
inside_lvliang,50,1,2
inside_lvliang,51,1,2
inside_lvliang,52,1,2
inside_lvliang,53,1,2
inside_lvliang,54,1,2
inside_lvliang,55,1,2
inside_lvliang,56,1,2
inside_lvliang,57,1,2
inside_lvliang,58,1,2
inside_lvliang,59,1,2
inside_lvliang,60,1,2
inside_lvliang,61,1,2
inside_lvliang,62,1,2
inside_lvliang,63,1,2
inside_lvliang,64,1,2
inside_lvliang,65,1,2
inside_lvliang,66,1,2
inside_lvliang,67,1,2
inside_lvliang,68,1,2
inside_lvliang,69,1,2
inside_lvliang,70,1,2
inside_lvliang,71,1,2
inside_lvliang,72,1,2
inside_lvliang,73,1,2
inside_lvliang,74,1,2
inside_lvliang,75,1,2
inside_lvliang,76,1,2
inside_lvliang,77,1,2
inside_lvliang,78,1,2
inside_lvliang,79,1,2
inside_lvliang,80,1,2
inside_lvliang,81,1,2
inside_lvliang,82,1,2
inside_lvliang,83,1,2
inside_lvliang,84,1,2
inside_lvliang,85,1,2
inside_lvliang,86,1,2
inside_lvliang,87,1,2
inside_lvliang,88,1,2
inside_lvliang,89,1,2
inside_lvliang,90,1,2
inside_lvliang,91,1,2
inside_lvliang,92,1,2
inside_lvliang,93,1,2
inside_lvliang,94,1,2
inside_lvliang,95,1,2
inside_lvliang,96,1,2
outside_lvliang,1,1,2
outside_lvliang,2,1,2
outside_lvliang,3,1,2
outside_lvliang,4,1,2
outside_lvliang,5,1,2
outside_lvliang,6,1,2
outside_lvliang,7,1,2
outside_lvliang,8,1,2
outside_lvliang,9,1,2
outside_lvliang,10,1,2
outside_lvliang,11,1,2
outside_lvliang,12,1,2
outside_lvliang,13,1,2
outside_lvliang,14,1,2
outside_lvliang,15,1,2
outside_lvliang,16,1,2
outside_lvliang,17,1,2
outside_lvliang,18,1,2
outside_lvliang,19,1,2
outside_lvliang,20,1,2
outside_lvliang,21,1,2
outside_lvliang,22,1,2
outside_lvliang,23,1,2
outside_lvliang,24,1,2
outside_lvliang,25,1,2
outside_lvliang,26,1,2
outside_lvliang,27,1,2
outside_lvliang,28,1,2
outside_lvliang,29,1,2
outside_lvliang,30,1,2
outside_lvliang,31,1,2
outside_lvliang,32,1,2
outside_lvliang,33,1,2
outside_lvliang,34,1,2
outside_lvliang,35,1,2
outside_lvliang,36,1,2
outside_lvliang,37,1,2
outside_lvliang,38,1,2
outside_lvliang,39,1,2
outside_lvliang,40,1,2
outside_lvliang,41,1,2
outside_lvliang,42,1,2
outside_lvliang,43,1,2
outside_lvliang,44,1,2
outside_lvliang,45,1,2
outside_lvliang,46,1,2
outside_lvliang,47,1,2
outside_lvliang,48,1,2
outside_lvliang,49,1,2
outside_lvliang,50,1,2
outside_lvliang,51,1,2
outside_lvliang,52,1,2
outside_lvliang,53,1,2
outside_lvliang,54,1,2
outside_lvliang,55,1,2
outside_lvliang,56,1,2
outside_lvliang,57,1,2
outside_lvliang,58,1,2
outside_lvliang,59,1,2
outside_lvliang,60,1,2
outside_lvliang,61,1,2
outside_lvliang,62,1,2
outside_lvliang,63,1,2
outside_lvliang,64,1,2
outside_lvliang,65,1,2
outside_lvliang,66,1,2
outside_lvliang,67,1,2
outside_lvliang,68,1,2
outside_lvliang,69,1,2
outside_lvliang,70,1,2
outside_lvliang,71,1,2
outside_lvliang,72,1,2
outside_lvliang,73,1,2
outside_lvliang,74,1,2
outside_lvliang,75,1,2
outside_lvliang,76,1,2
outside_lvliang,77,1,2
outside_lvliang,78,1,2
outside_lvliang,79,1,2
outside_lvliang,80,1,2
outside_lvliang,81,1,2
outside_lvliang,82,1,2
outside_lvliang,83,1,2
outside_lvliang,84,1,2
outside_lvliang,85,1,2
outside_lvliang,86,1,2
outside_lvliang,87,1,2
outside_lvliang,88,1,2
outside_lvliang,89,1,2
outside_lvliang,90,1,2
outside_lvliang,91,1,2
outside_lvliang,92,1,2
outside_lvliang,93,1,2
outside_lvliang,94,1,2
outside_lvliang,95,1,2
outside_lvliang,96,1,2
