component,npv_cost
CogenFixedCost,1278866703.828668
FuelCostsPerTP,10702252954.03968
GenVariableOMCostsInTP,113461133.6559779
LocalTDFixedCosts,2457748226.337954
TotalGenFixedCosts,55418413133.52647
TxFixedCosts,465063.2417209229
