PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2020,1.62605e+07,20000000,0,0,0
2025,1.62605e+07,20000000,0,0,0
2030,1e+07,20000000,0,0,0
2035,1e+07,10000000,166.818,0,0
