generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
G106348,G106348,5,inside_lvliang,Coal,2025,50.66320259189396,23153.083584495544,53199.54437061144,300.0,84817811.46596469,8676900.0,1845.8735288185653,0.0192650401520625
G106348,G106348,5,inside_lvliang,Coal,2030,50.66320259189396,23153.083584495544,53199.54437061144,300.0,84817811.46596469,8676900.0,1845.8735288185653,0.0192650401520625
G106348,G106348,5,inside_lvliang,Coal,2035,50.66320259189544,23153.08358449622,53199.54437061299,300.0,84817811.46596469,8676900.0,1845.8735288185119,0.01926504015206306
G106349,G106349,6,inside_lvliang,Coal,2020,2129.08608,972992.33856,2051688.265368192,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G106349,G106349,6,inside_lvliang,Coal,2025,2129.08608,972992.33856,2051688.265368192,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G106349,G106349,6,inside_lvliang,Coal,2030,2129.08608,972992.33856,2051688.265368192,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G106349,G106349,6,inside_lvliang,Coal,2035,2129.08608,972992.33856,2051688.265368192,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G106470,G106470,3,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
G106470,G106470,3,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
G106470,G106470,3,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
G106470,G106470,3,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
G109041,G109041,1,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G109041,G109041,1,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G109041,G109041,1,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G109041,G109041,1,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G109042,G109042,2,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G109042,G109042,2,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G109042,G109042,2,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G109042,G109042,2,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
G111092,G111092,16,inside_lvliang,Coal,2025,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
G111092,G111092,16,inside_lvliang,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
G111092,G111092,16,inside_lvliang,Coal,2035,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
G111093,G111093,17,inside_lvliang,Coal,2025,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
G111093,G111093,17,inside_lvliang,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
G111093,G111093,17,inside_lvliang,Coal,2035,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
G112778,G112778,14,inside_lvliang,Coal,2020,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
G112778,G112778,14,inside_lvliang,Coal,2025,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
G112778,G112778,14,inside_lvliang,Coal,2030,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
G112778,G112778,14,inside_lvliang,Coal,2035,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
G112779,G112779,15,inside_lvliang,Coal,2020,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
G112779,G112779,15,inside_lvliang,Coal,2025,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
G112779,G112779,15,inside_lvliang,Coal,2030,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
G112779,G112779,15,inside_lvliang,Coal,2035,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
G114088,G114088,11,inside_lvliang,Coal,2020,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114088,G114088,11,inside_lvliang,Coal,2025,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114088,G114088,11,inside_lvliang,Coal,2030,2.6005589109590685e-12,1.1884554223082944e-09,2.9601876021966873e-09,135.0,38168015.15968411,3904605.0,1.61782992042153e+16,2.197513043627372e-15
G114088,G114088,11,inside_lvliang,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114089,G114089,12,inside_lvliang,Coal,2020,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114089,G114089,12,inside_lvliang,Coal,2025,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114089,G114089,12,inside_lvliang,Coal,2030,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114089,G114089,12,inside_lvliang,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114090,G114090,13,inside_lvliang,Coal,2020,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114090,G114090,13,inside_lvliang,Coal,2025,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114090,G114090,13,inside_lvliang,Coal,2030,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
G114090,G114090,13,inside_lvliang,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
N-Central_PV-1,N-Central_PV-1,Central_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Central_PV-1,N-Central_PV-1,Central_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Central_PV-1,N-Central_PV-1,Central_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Central_PV-1,N-Central_PV-1,Central_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Central_PV-2,N-Central_PV-2,Central_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
