GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
N-Residential_PV,2020,Residential_PV,inside_lvliang,Solar,0,.,0
N-Residential_PV,2025,Residential_PV,inside_lvliang,Solar,.,.,.
N-Residential_PV,2030,Residential_PV,inside_lvliang,Solar,0,.,0
N-Residential_PV,2035,Residential_PV,inside_lvliang,Solar,.,.,.
N-Wind-1,2020,Wind,inside_lvliang,Wind,4,.,7.65201e+06
N-Wind-1,2025,Wind,inside_lvliang,Wind,.,.,.
N-Wind-1,2030,Wind,inside_lvliang,Wind,0,.,0
N-Wind-1,2035,Wind,inside_lvliang,Wind,.,.,.
N-Wind-2,2020,Wind,inside_lvliang,Wind,1,.,1.92166e+06
N-Wind-2,2025,Wind,inside_lvliang,Wind,.,.,.
N-Wind-2,2030,Wind,inside_lvliang,Wind,0,.,0
N-Wind-2,2035,Wind,inside_lvliang,Wind,.,.,.
S-Central_PV-1,2020,Central_PV,inside_lvliang,Solar,0,.,0
S-Central_PV-1,2025,Central_PV,inside_lvliang,Solar,.,.,.
S-Central_PV-1,2030,Central_PV,inside_lvliang,Solar,0,.,0
S-Central_PV-1,2035,Central_PV,inside_lvliang,Solar,.,.,.
S-Central_PV-2,2020,Central_PV,inside_lvliang,Solar,0,.,0
S-Central_PV-2,2025,Central_PV,inside_lvliang,Solar,.,.,.
S-Central_PV-2,2030,Central_PV,inside_lvliang,Solar,0,.,0
S-Central_PV-2,2035,Central_PV,inside_lvliang,Solar,.,.,.
S-Commercial_PV,2020,Commercial_PV,inside_lvliang,Solar,0,.,0
S-Commercial_PV,2025,Commercial_PV,inside_lvliang,Solar,.,.,.
S-Commercial_PV,2030,Commercial_PV,inside_lvliang,Solar,0,.,0
S-Commercial_PV,2035,Commercial_PV,inside_lvliang,Solar,.,.,.
S-Residential_PV,2020,Residential_PV,inside_lvliang,Solar,0,.,0
S-Residential_PV,2025,Residential_PV,inside_lvliang,Solar,.,.,.
S-Residential_PV,2030,Residential_PV,inside_lvliang,Solar,0,.,0
S-Residential_PV,2035,Residential_PV,inside_lvliang,Solar,.,.,.
outside_coal,2020,outside,outside_lvliang,Coal,.,.,.
outside_coal,2025,outside,outside_lvliang,Coal,.,.,.
outside_coal,2030,outside,outside_lvliang,Coal,.,.,.
outside_coal,2035,outside,outside_lvliang,Coal,.,.,.
