PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,5472305016.628891,21784324.752947994,251.2037934932247
2025,5690459343.382809,21784324.752947994,261.2180734503942
2030,5690459343.382809,21784324.752947994,261.2180734503942
2035,5690459343.382809,21784324.752947994,261.2180734503942
