PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,2210033548.9356475,30550324.752947997,72.3407546992569
2025,2177703136.7126923,30550324.752947997,71.28248731635992
2030,2222802854.564897,30550324.752947997,72.75873080041168
2035,2353884961.942472,30550324.752947997,77.04942520178383
