load_zone,period,Coal,Hydrogen,Wind,Solar,TXPowerNet,CogenZonalOutput
inside_lvliang,2020,23381.70982182286,0,2939.84613979818,1303.9510388895947,-9642.291446673713,5022.347239221867
inside_lvliang,2025,23527.381151426274,0,4162.8319010070045,1273.0353307336318,-9642.291446673713,3684.6058565655635
inside_lvliang,2030,23807.062869758123,0,3573.6391403969114,1441.957329643358,-9642.291446673713,3825.194899934055
inside_lvliang,2035,18452.079360000014,0,6626.979838296151,2470.5266791338954,-9642.291446673713,5098.268362302435
outside_lvliang,2020,0.0,0,0,0,9256.599788806756,0.0
outside_lvliang,2025,0.0,0,0,0,9256.599788806756,0.0
outside_lvliang,2030,0.0,0,0,0,9256.599788806756,0.0
outside_lvliang,2035,0.0,0,0,0,9256.599788806756,0.0
