load_zone,period,Coal,Hydrogen,Solar,Wind,hydro,fuel cells
inside_lvliang,2020,3294.6121870971283,0.0,1046.4562499480003,2990.8505594900003,0,0
inside_lvliang,2025,3315.1380828284236,0.0,1046.4562499480003,2910.6526223899996,0,0
inside_lvliang,2030,3354.5467832505137,0.0,1046.4562499480003,2745.18221629,0,0
inside_lvliang,2035,2600.0,0.0,3959.9440816845904,6480.084846415886,0,0
outside_lvliang,2020,0.0,0.0,0,0,0,0
outside_lvliang,2025,0.0,0.0,0,0,0,0
outside_lvliang,2030,0.0,0.0,0,0,0,0
outside_lvliang,2035,0.0,0.0,0,0,0,0
