load_zone,period,PV1,PV10,PV11,PV2,PV3,PV4,PV5,PV6,PV7,PV8,PV9,coal1,coal10,coal11,coal12,coal13,coal14,coal15,coal16,coal17,coal2,coal3,coal4,coal5,coal6,coal7,coal8,coal9,hydrogen,hydrogen1,hydrogen2,hydrogen3,hydrogen_outside,outside,wind1,wind10,wind11,wind2,wind3,wind4,wind5,wind6,wind7,wind8,wind9,TXPowerNet,CogenZonalOutput
inside_lvliang,2020,251.07638068443313,101.89004344528712,0.15519804104446042,0.16899371437839122,459.10645878200455,82.05125396906446,238.0860432072556,0.11438285140592477,68.57838401810824,86.99562602447347,15.728274152139086,2129.0860799999996,4258.172159999999,958.0887359999994,423.0649258228383,0.0,0.0,0.0,0.0,0.0,2129.0860799999996,2483.933760000001,2483.933760000001,2129.0860799999996,2129.0860799999996,0.0,0.0,4258.172159999999,0.0,0.0,0.0,0.0,0.0,0.0,1958.4250730817644,22.993722469597614,9.819583738145742,13.269409274015057,280.7467786932268,20.834123448818392,251.2353732923108,77.15938039562064,56.8410252071157,104.57725098351422,143.94441921404976,-9642.291446673713,5022.347239221867
inside_lvliang,2025,231.12960508024045,93.7764615626449,0.10639657484804502,0.13055460149684614,361.05714610264397,93.13179198215003,288.74220333842004,0.14733980151400367,49.15704917520209,128.32747012643148,27.329312388040602,2129.0860799999996,4258.172159999999,0.0,0.0,0.0,0.0,0.0,1526.8249914262783,0.0,2129.0860799999996,2483.933760000001,2483.933760000001,2129.0860799999996,2129.0860799999996,0.0,0.0,4258.172159999999,0.0,0.0,0.0,0.0,0.0,0.0,2843.130509269891,33.30272300610025,17.726144044077945,0.0,478.98363437936797,0.0,320.69116487166787,145.34575417097355,84.129070893341,112.48910054602491,127.03379982555742,-9642.291446673713,3684.6058565655635
inside_lvliang,2030,222.1465308152744,124.6264665305866,0.151594635710046,0.16244446249216277,516.0380629125378,96.00818277994078,269.94953708704134,0.1707314324192394,67.26403493867113,124.20544975661757,21.234294292065876,2129.0860799999996,4258.172159999999,0.0,0.0,0.0,0.0,0.0,1806.5067097581527,0.0,2129.0860799999996,2483.933760000001,2483.933760000001,2129.0860799999996,2129.0860799999996,0.0,0.0,4258.172159999999,0.0,0.0,0.0,0.0,0.0,0.0,2525.0050211856596,36.78094911237864,13.160128630895574,0.0,322.5836125720542,0.0,323.7428613851551,116.03183176814893,66.94102440630354,0.0,169.39371133631553,-9642.291446673713,3825.194899934055
inside_lvliang,2035,69.82294385752226,34.04357911139907,0.016716154355025513,0.41159266346124507,1533.0269749630731,551.2791343306151,99.01174433196344,0.05599415793709387,53.37840825631936,107.57266573428082,21.90692557296838,2129.0860799999996,0.0,0.0,0.0,0.0,0.0,0.0,2483.933760000001,2483.933760000001,2129.0860799999996,2483.933760000001,2483.933760000001,2129.0860799999996,2129.0860799999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808.5100735831998,34.500298684064795,15.05444844547966,10.434783533119896,3010.9162827668124,32.17749375814105,276.3312912574548,1027.6112769286526,85.47186196973782,103.02334290286896,222.94868446661985,-9642.291446673713,5098.268362302435
outside_lvliang,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9256.599788806756,0.0
outside_lvliang,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9256.599788806756,0.0
outside_lvliang,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9256.599788806756,0.0
outside_lvliang,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9256.599788806756,0.0
