period,timepoint_label,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
2020,20200100,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.23423672966476,0.0,0.0,1.4901097277276427,57.53065592771102,0.0,38.25595638823433,0.0,10.50516783937219,0.0,20.657993636463786
2020,20200101,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.6384713914456,3.8143380083148286,1.9217512828188987,1.4145446309209815,55.43634693208461,3.482780409503157,0.0,0.0,10.130823269226852,0.0,20.01457139138413
2020,20200102,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.2291818658181,3.718186581101071,1.8868314453336679,1.317202212746712,53.44483645798411,3.246260084785035,13.488743971563395,13.972614398060928,9.694806492085204,13.41780429500928,19.5392780159636
2020,20200103,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.9675914454933,3.6220351139344715,1.8519116078484372,1.2198597703581995,0.0,0.0,34.10851052201568,13.498264604881516,9.258789714943557,13.304891914122608,19.063984640543065
2020,20200104,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.706002655249,3.5258836467678716,1.8169917703632066,1.1225173279696872,49.4618155097831,2.7732193243437786,32.67358277950098,13.023914811702102,0.0,13.191979533235937,0.0
2020,20200105,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,3.1972250782687275,1.4963451857634311,0.0020134933314264456,0.001897180610531588,6.129434265930173,1.1018978338953356,3.5335115956662304,0.0018705604699258496,0.8431270162607954,1.7795771706645496,0.35279683231413606,290.9485951945239,3.4569429012988144,1.7465518334100578,1.1115013003689713,47.42054920270686,2.7370879140025965,32.01723900999491,12.763033411300485,8.689076174002333,13.667099679016225,18.09071140116719
2020,20200106,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,6.394450156537455,2.9926903715268622,0.004026986662852891,0.0037943611122945343,12.258868531860346,2.203795604616965,0.0,0.0,1.6862540785285292,3.559154250688564,0.7055936646282721,281.1911877337987,0.0,0.0,1.1004852485540129,45.37928323243311,0.0,0.0,0.0,0.0,0.0,17.592731690674164
2020,20200107,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,9.591675234806184,4.489035557290294,0.006040479994279337,0.005691541722826122,18.38830279779052,3.3056934385123005,10.60053478699869,0.005611681409777548,2.5293810947893247,5.338731421353113,1.0583904969424083,118.02374087099997,3.3190614503135394,1.6056719924309122,1.0894691967390542,43.338016925356875,2.664825093320232,30.704551470982768,12.241270698843424,8.42168246900782,14.617340135054375,17.094751826718817
2020,20200108,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,31.483658892706465,14.3948685944822,0.018901225132119514,0.018212414447331193,57.90753885265252,10.577917525677886,0.0,0.0181940236445074,7.889821130502516,16.167859174081546,0.0,244.24334865067556,0.0,0.0,1.5469186658072331,51.855764215456176,0.0,37.976940806823485,0.0,0.0,17.92376539915282,0.0
2020,20200109,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,53.349158425842575,24.288377071240003,0.031745320139304575,0.030717552265038917,97.37576272330305,17.841002651787104,54.28352492673716,0.030760898984263756,13.24324681037841,26.98218414908339,5.726527925715854,49.24425815629854,4.953759766520207,0.0,0.0,0.0,0.0,45.50421117939415,19.566552680198132,0.0,21.31306154243698,0.0
