timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
20200100,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.071,0,0,0,449.288,3.65727,0,0,0,0,0
20200101,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.491,0,1.92175,0,271.813,3.48278,0,130.732,10.1308,0,20.0146
20200102,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.446,3.71819,1.88683,1.3172,426.916,0,0,126.44,9.69481,13.4178,19.5393
20200103,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.968,0,1.85191,0,209.719,3.00974,34.1085,122.147,0,13.3049,19.064
20200104,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.706,0,1.81699,0,225.013,2.77322,0,117.855,8.82277,13.192,18.5887
20200105,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,31.941,0,0,0,6.12943,0,3.53351,0,0,0,0,85.6509,3.45694,0,0,378.794,2.73709,32.0172,115.494,0,13.6671,18.0907
20200106,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,63.882,2.99269,0,0,12.2589,2.2038,0,0,1.68625,0,0,265.238,0,1.67611,0,362.489,2.70096,31.3609,0,0,0,0
20200107,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,95.8231,0,0,0,18.3883,3.30569,10.6005,0,2.52938,5.33873,1.05839,271.434,3.31906,1.60567,1.08947,346.183,2.66483,30.7046,20.411,8.42168,14.6173,17.0948
20200108,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,314.529,0,0,0,55.8562,0,0,0,7.88982,0,3.39391,0,4.13733,0,0,414.223,3.74302,37.9769,0,10.6891,0,0
20200109,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,40.48,0,109.296,109.296,109.296,0,0,0,532.97,0,0,0,25.4468,0,54.2835,0,0,26.9822,0,0,4.95376,2.21912,0,0,4.85525,0,177.06,13.0062,21.3131,24.3466
