component,npv_cost
FuelCostsPerTP,13197786626.43066
GenVariableOMCostsInTP,137506156.6192174
LocalTDFixedCosts,3266528789.243247
TotalGenFixedCosts,10924993758.97563
TxFixedCosts,170517732.0635791
