GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
s10,2020,2030,0.0
s10,2020,2035,0.0
s10,2025,2025,0.0
s10,2025,2030,0.0
s10,2025,2035,0.0
s10,2030,2030,0.0
s10,2030,2035,0.0
s10,2035,2035,0.0
s11,2019,2020,0.0
s11,2019,2025,0.0
s11,2019,2030,0.0
s11,2019,2035,0.0
s11,2020,2020,0.0
s11,2020,2025,0.0
s11,2020,2030,0.0
s11,2020,2035,0.0
s11,2025,2025,0.0
s11,2025,2030,0.0
s11,2025,2035,0.0
s11,2030,2030,0.0
s11,2030,2035,0.0
s11,2035,2035,0.0
s2,2019,2020,0.0
s2,2019,2025,0.0
s2,2019,2030,0.0
s2,2019,2035,0.0
s2,2020,2020,0.0
s2,2020,2025,0.0
s2,2020,2030,0.0
s2,2020,2035,0.0
s2,2025,2025,0.0
s2,2025,2030,0.0
s2,2025,2035,0.0
s2,2030,2030,0.0
s2,2030,2035,0.0
s2,2035,2035,0.0
s3,2019,2020,0.0
s3,2019,2025,0.0
s3,2019,2030,0.0
s3,2019,2035,0.0
s3,2020,2020,0.0
s3,2020,2025,0.0
s3,2020,2030,0.0
s3,2020,2035,0.0
s3,2025,2025,0.0
s3,2025,2030,0.0
s3,2025,2035,0.0
s3,2030,2030,0.0
s3,2030,2035,0.0
s3,2035,2035,0.0
s4,2019,2020,0.0
s4,2019,2025,0.0
s4,2019,2030,0.0
s4,2019,2035,0.0
s4,2020,2020,0.0
s4,2020,2025,0.0
s4,2020,2030,0.0
s4,2020,2035,0.0
s4,2025,2025,0.0
s4,2025,2030,0.0
s4,2025,2035,0.0
s4,2030,2030,0.0
s4,2030,2035,0.0
s4,2035,2035,0.0
s5,2019,2020,0.0
s5,2019,2025,0.0
s5,2019,2030,0.0
s5,2019,2035,0.0
s5,2020,2020,0.0
s5,2020,2025,0.0
s5,2020,2030,0.0
s5,2020,2035,0.0
s5,2025,2025,0.0
s5,2025,2030,0.0
s5,2025,2035,0.0
s5,2030,2030,0.0
s5,2030,2035,0.0
s5,2035,2035,0.0
s6,2019,2020,0.0
s6,2019,2025,0.0
s6,2019,2030,0.0
s6,2019,2035,0.0
s6,2020,2020,0.0
s6,2020,2025,0.0
s6,2020,2030,0.0
s6,2020,2035,0.0
s6,2025,2025,0.0
s6,2025,2030,0.0
s6,2025,2035,0.0
s6,2030,2030,0.0
s6,2030,2035,0.0
s6,2035,2035,0.0
s7,2019,2020,0.0
s7,2019,2025,0.0
s7,2019,2030,0.0
s7,2019,2035,0.0
s7,2020,2020,0.0
s7,2020,2025,0.0
s7,2020,2030,0.0
s7,2020,2035,0.0
s7,2025,2025,0.0
s7,2025,2030,0.0
s7,2025,2035,0.0
s7,2030,2030,0.0
s7,2030,2035,0.0
s7,2035,2035,0.0
s8,2019,2020,0.0
s8,2019,2025,0.0
s8,2019,2030,0.0
s8,2019,2035,0.0
s8,2020,2020,0.0
s8,2020,2025,0.0
s8,2020,2030,0.0
s8,2020,2035,0.0
s8,2025,2025,0.0
s8,2025,2030,0.0
s8,2025,2035,0.0
s8,2030,2030,0.0
s8,2030,2035,0.0
s8,2035,2035,0.0
s9,2019,2020,0.0
s9,2019,2025,0.0
s9,2019,2030,0.0
s9,2019,2035,0.0
s9,2020,2020,0.0
s9,2020,2025,0.0
s9,2020,2030,0.0
s9,2020,2035,0.0
s9,2025,2025,0.0
s9,2025,2030,0.0
s9,2025,2035,0.0
s9,2030,2030,0.0
s9,2030,2035,0.0
s9,2035,2035,0.0
w1,2019,2020,0.0
w1,2019,2025,0.0
w1,2019,2030,0.0
w1,2019,2035,0.0
w1,2020,2020,0.0
w1,2020,2025,0.0
w1,2020,2030,0.0
w1,2020,2035,0.0
w1,2025,2025,0.0
w1,2025,2030,0.0
