GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
w2,2030,wind2,inside_lvliang,Wind,0,.,0
w2,2035,wind2,inside_lvliang,Wind,0,.,0
w3,2020,wind3,inside_lvliang,Wind,0,.,0
w3,2025,wind3,inside_lvliang,Wind,0,.,0
w3,2030,wind3,inside_lvliang,Wind,0,.,0
w3,2035,wind3,inside_lvliang,Wind,2727.32,.,1.47139e+09
w4,2020,wind4,inside_lvliang,Wind,0,.,0
w4,2025,wind4,inside_lvliang,Wind,0,.,0
w4,2030,wind4,inside_lvliang,Wind,0,.,0
w4,2035,wind4,inside_lvliang,Wind,0,.,0
w5,2020,wind5,inside_lvliang,Wind,0,.,0
w5,2025,wind5,inside_lvliang,Wind,0,.,0
w5,2030,wind5,inside_lvliang,Wind,0,.,0
w5,2035,wind5,inside_lvliang,Wind,0,.,0
w6,2020,wind6,inside_lvliang,Wind,0,.,0
w6,2025,wind6,inside_lvliang,Wind,0,.,0
w6,2030,wind6,inside_lvliang,Wind,0,.,0
w6,2035,wind6,inside_lvliang,Wind,715.401,.,3.85959e+08
w7,2020,wind7,inside_lvliang,Wind,0,.,0
w7,2025,wind7,inside_lvliang,Wind,0,.,0
w7,2030,wind7,inside_lvliang,Wind,0,.,0
w7,2035,wind7,inside_lvliang,Wind,0,.,0
w8,2020,wind8,inside_lvliang,Wind,0,.,0
w8,2025,wind8,inside_lvliang,Wind,0,.,0
w8,2030,wind8,inside_lvliang,Wind,0,.,0
w8,2035,wind8,inside_lvliang,Wind,0,.,0
w9,2020,wind9,inside_lvliang,Wind,0,.,0
w9,2025,wind9,inside_lvliang,Wind,0,.,0
w9,2030,wind9,inside_lvliang,Wind,0,.,0
w9,2035,wind9,inside_lvliang,Wind,1216.13,.,6.56102e+08
