RecoveryDemand_index_1,RecoveryDemand_index_2,RecoveryDemand
inside_lvliang,1,0.0
inside_lvliang,2,1212.040994
inside_lvliang,3,2410.251397
inside_lvliang,4,3592.2664059999997
inside_lvliang,5,4723.71551772
inside_lvliang,6,5893.1068607199995
inside_lvliang,7,7088.52942422
inside_lvliang,8,8335.137700719999
inside_lvliang,9,9580.727360219998
inside_lvliang,10,10842.88903022
inside_lvliang,11,12056.75190178
inside_lvliang,12,13271.111278280001
inside_lvliang,13,14491.734753780001
inside_lvliang,14,15660.891368280001
inside_lvliang,15,16818.77050178
inside_lvliang,16,17990.05719028
inside_lvliang,17,19187.60982778
inside_lvliang,18,20489.11480478
inside_lvliang,19,21872.06620778
inside_lvliang,20,23276.74226328
inside_lvliang,21,24688.531304500004
inside_lvliang,22,26048.004598000003
inside_lvliang,23,27358.656981500004
inside_lvliang,24,28600.3473445
inside_lvliang,25,29821.115336000003
inside_lvliang,26,31033.15633
inside_lvliang,27,32231.366733000003
inside_lvliang,28,33413.381742
inside_lvliang,29,34581.473319
inside_lvliang,30,35750.864662
inside_lvliang,31,36946.2872255
inside_lvliang,32,38192.895502
inside_lvliang,33,39431.184058830004
inside_lvliang,34,40693.345728830005
inside_lvliang,35,41914.111092830004
inside_lvliang,36,43128.47046933001
inside_lvliang,37,44349.093944830005
inside_lvliang,38,45518.25055933001
inside_lvliang,39,46639.885837780006
inside_lvliang,40,47811.17252628001
inside_lvliang,41,49008.72516378001
inside_lvliang,42,50310.23014078001
inside_lvliang,43,51693.18154378001
inside_lvliang,44,53097.85759928001
inside_lvliang,45,54509.64664050001
inside_lvliang,46,55869.11993400001
inside_lvliang,47,57179.77231750001
inside_lvliang,48,58421.46268050001
inside_lvliang,49,59642.230672000005
inside_lvliang,50,60854.27166600001
inside_lvliang,51,62046.58225195001
inside_lvliang,52,63228.59726095001
inside_lvliang,53,64396.68883795001
inside_lvliang,54,65566.08018095001
inside_lvliang,55,66761.50274445002
inside_lvliang,56,68008.11102095002
inside_lvliang,57,69253.70068045001
inside_lvliang,58,70515.86235045001
inside_lvliang,59,71736.62771445002
inside_lvliang,60,72950.98709095002
inside_lvliang,61,74133.96542578001
inside_lvliang,62,75303.12204028001
inside_lvliang,63,76461.00117378001
inside_lvliang,64,77632.28786228002
inside_lvliang,65,78829.84049978002
inside_lvliang,66,80131.34547678001
inside_lvliang,67,81514.29687978001
inside_lvliang,68,82918.97293528002
inside_lvliang,69,84330.76197650003
inside_lvliang,70,85690.23527000002
inside_lvliang,71,87000.88765350002
inside_lvliang,72,88242.57801650002
inside_lvliang,73,89463.34600800002
inside_lvliang,74,90675.38700200002
inside_lvliang,75,91873.59740500002
inside_lvliang,76,93055.61241400002
inside_lvliang,77,94223.70399100002
inside_lvliang,78,95393.09533400001
inside_lvliang,79,96552.26676586502
inside_lvliang,80,97798.87504236502
inside_lvliang,81,99044.46470186501
inside_lvliang,82,100306.62637186502
inside_lvliang,83,101527.39173586502
inside_lvliang,84,102741.75111236502
inside_lvliang,85,103962.37458786502
inside_lvliang,86,105131.53120236502
inside_lvliang,87,106282.11650978001
inside_lvliang,88,107453.40319828002
inside_lvliang,89,108650.95583578003
inside_lvliang,90,109952.46081278003
inside_lvliang,91,111335.41221578003
inside_lvliang,92,112740.08827128002
inside_lvliang,93,114151.87731250003
inside_lvliang,94,115511.35060600004
inside_lvliang,95,116822.00298950003
inside_lvliang,96,118063.69335250003
outside_lvliang,1,0.0
outside_lvliang,2,500.0
outside_lvliang,3,997.4779423015702
outside_lvliang,4,1497.4779423015702
outside_lvliang,5,1997.4779423015702
outside_lvliang,6,2497.4779423015702
outside_lvliang,7,2997.4779423015702
outside_lvliang,8,3497.4779423015702
outside_lvliang,9,3994.9558846031414
outside_lvliang,10,4494.955884603141
outside_lvliang,11,4994.955884603141
outside_lvliang,12,5494.955884603141
outside_lvliang,13,5994.955884603141
outside_lvliang,14,6494.955884603141
outside_lvliang,15,6994.955884603141
outside_lvliang,16,7492.433826904713
outside_lvliang,17,7992.433826904713
outside_lvliang,18,8492.433826904713
outside_lvliang,19,8992.433826904713
outside_lvliang,20,9492.433826904713
outside_lvliang,21,9992.433826904713
outside_lvliang,22,10500.0
outside_lvliang,23,11000.0
outside_lvliang,24,11500.0
outside_lvliang,25,12000.0
outside_lvliang,26,12500.0
outside_lvliang,27,13000.0
outside_lvliang,28,13500.0
outside_lvliang,29,13996.74831262209
outside_lvliang,30,14496.74831262209
outside_lvliang,31,14996.74831262209
outside_lvliang,32,15496.74831262209
