PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,1882561761.702887,30550324.752947997,61.62166120742224
2025,1905575045.208536,30550324.752947997,62.37495216886867
2030,1914909669.3472219,30550324.752947997,62.680501265782446
2035,1988174597.1910558,30550324.752947997,65.07867308347366
