TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
inside_lvliang,outside_lvliang,1,1111.4125874531946
inside_lvliang,outside_lvliang,2,1111.4125874531946
inside_lvliang,outside_lvliang,3,1111.4125874531944
inside_lvliang,outside_lvliang,4,1111.4125874531946
inside_lvliang,outside_lvliang,5,1111.4125874531946
inside_lvliang,outside_lvliang,6,1111.4125874531946
inside_lvliang,outside_lvliang,7,1111.4125874531944
inside_lvliang,outside_lvliang,8,1111.4125874531944
inside_lvliang,outside_lvliang,9,1111.4125874531944
inside_lvliang,outside_lvliang,10,1111.4125874531944
inside_lvliang,outside_lvliang,11,1111.4125874531946
inside_lvliang,outside_lvliang,12,1111.4125874531946
inside_lvliang,outside_lvliang,13,1111.4125874531946
inside_lvliang,outside_lvliang,14,1111.4125874531946
inside_lvliang,outside_lvliang,15,1111.4125874531946
inside_lvliang,outside_lvliang,16,1111.4125874531946
inside_lvliang,outside_lvliang,17,1111.4125874531944
inside_lvliang,outside_lvliang,18,1111.4125874531946
inside_lvliang,outside_lvliang,19,1111.4125874531946
inside_lvliang,outside_lvliang,20,989.9683210137277
inside_lvliang,outside_lvliang,21,1038.6187644563804
inside_lvliang,outside_lvliang,22,1034.9367746879275
inside_lvliang,outside_lvliang,23,1107.379617810803
inside_lvliang,outside_lvliang,24,1111.4125874531946
inside_lvliang,outside_lvliang,25,1111.4125874531946
inside_lvliang,outside_lvliang,26,1111.4125874531944
inside_lvliang,outside_lvliang,27,1111.4125874531946
inside_lvliang,outside_lvliang,28,1111.4125874531946
inside_lvliang,outside_lvliang,29,1111.4125874531944
inside_lvliang,outside_lvliang,30,1111.4125874531946
inside_lvliang,outside_lvliang,31,1093.4008803515533
inside_lvliang,outside_lvliang,32,1111.4125874531944
inside_lvliang,outside_lvliang,33,1111.4125874531944
inside_lvliang,outside_lvliang,34,1111.4125874531946
inside_lvliang,outside_lvliang,35,1111.4125874531946
inside_lvliang,outside_lvliang,36,1111.4125874531944
inside_lvliang,outside_lvliang,37,1111.4125874531946
inside_lvliang,outside_lvliang,38,1111.4125874531946
inside_lvliang,outside_lvliang,39,1111.4125874531946
inside_lvliang,outside_lvliang,40,1111.4125874531946
inside_lvliang,outside_lvliang,41,1111.4125874531946
inside_lvliang,outside_lvliang,42,1111.4125874531944
inside_lvliang,outside_lvliang,43,1111.4125874531944
inside_lvliang,outside_lvliang,44,989.9683210137277
inside_lvliang,outside_lvliang,45,1043.278343198384
inside_lvliang,outside_lvliang,46,1044.255933405182
inside_lvliang,outside_lvliang,47,1111.4125874531946
inside_lvliang,outside_lvliang,48,1111.4125874531946
inside_lvliang,outside_lvliang,49,1111.4125874531944
inside_lvliang,outside_lvliang,50,1111.4125874531946
inside_lvliang,outside_lvliang,51,1111.4125874531946
inside_lvliang,outside_lvliang,52,1111.4125874531944
inside_lvliang,outside_lvliang,53,1111.4125874531944
inside_lvliang,outside_lvliang,54,1111.4125874531944
inside_lvliang,outside_lvliang,55,1111.4125874531946
inside_lvliang,outside_lvliang,56,1111.4125874531944
inside_lvliang,outside_lvliang,57,1111.4125874531944
inside_lvliang,outside_lvliang,58,1111.4125874531944
inside_lvliang,outside_lvliang,59,1111.4125874531946
inside_lvliang,outside_lvliang,60,1111.4125874531944
inside_lvliang,outside_lvliang,61,1111.4125874531946
inside_lvliang,outside_lvliang,62,1111.4125874531946
inside_lvliang,outside_lvliang,63,1111.4125874531946
inside_lvliang,outside_lvliang,64,1111.4125874531946
inside_lvliang,outside_lvliang,65,1111.4125874531946
inside_lvliang,outside_lvliang,66,1111.4125874531946
inside_lvliang,outside_lvliang,67,1111.4125874531944
inside_lvliang,outside_lvliang,68,989.9683210137277
inside_lvliang,outside_lvliang,69,1042.8718233175741
inside_lvliang,outside_lvliang,70,1043.4428932464284
inside_lvliang,outside_lvliang,71,1111.4125874531946
inside_lvliang,outside_lvliang,72,1094.6204403911174
inside_lvliang,outside_lvliang,73,1111.4125874531944
inside_lvliang,outside_lvliang,74,1111.4125874531944
inside_lvliang,outside_lvliang,75,1111.4125874531946
inside_lvliang,outside_lvliang,76,1111.4125874531944
inside_lvliang,outside_lvliang,77,1111.4125874531946
inside_lvliang,outside_lvliang,78,1111.4125874531944
inside_lvliang,outside_lvliang,79,1072.9301464702407
inside_lvliang,outside_lvliang,80,1111.4125874531944
inside_lvliang,outside_lvliang,81,1111.4125874531946
inside_lvliang,outside_lvliang,82,1111.4125874531946
inside_lvliang,outside_lvliang,83,1111.4125874531946
inside_lvliang,outside_lvliang,84,1111.4125874531946
inside_lvliang,outside_lvliang,85,1111.4125874531946
inside_lvliang,outside_lvliang,86,1111.4125874531946
inside_lvliang,outside_lvliang,87,1111.4125874531946
inside_lvliang,outside_lvliang,88,1111.4125874531946
inside_lvliang,outside_lvliang,89,1111.4125874531946
inside_lvliang,outside_lvliang,90,1111.4125874531944
inside_lvliang,outside_lvliang,91,1111.4125874531944
inside_lvliang,outside_lvliang,92,989.9683210137277
inside_lvliang,outside_lvliang,93,1050.1019205861546
inside_lvliang,outside_lvliang,94,1057.9030898987203
inside_lvliang,outside_lvliang,95,1111.4125874531946
inside_lvliang,outside_lvliang,96,1111.4125874531944
outside_lvliang,inside_lvliang,1,0.0
outside_lvliang,inside_lvliang,2,0.0
outside_lvliang,inside_lvliang,3,0.0
outside_lvliang,inside_lvliang,4,0.0
outside_lvliang,inside_lvliang,5,0.0
outside_lvliang,inside_lvliang,6,0.0
outside_lvliang,inside_lvliang,7,0.0
outside_lvliang,inside_lvliang,8,0.0
outside_lvliang,inside_lvliang,9,0.0
outside_lvliang,inside_lvliang,10,0.0
outside_lvliang,inside_lvliang,11,0.0
outside_lvliang,inside_lvliang,12,0.0
outside_lvliang,inside_lvliang,13,0.0
outside_lvliang,inside_lvliang,14,0.0
outside_lvliang,inside_lvliang,15,0.0
outside_lvliang,inside_lvliang,16,0.0
outside_lvliang,inside_lvliang,17,0.0
outside_lvliang,inside_lvliang,18,0.0
outside_lvliang,inside_lvliang,19,0.0
outside_lvliang,inside_lvliang,20,0.0
outside_lvliang,inside_lvliang,21,0.0
outside_lvliang,inside_lvliang,22,0.0
