ZONE_TIMEPOINTS_1,ZONE_TIMEPOINTS_2,WithdrawFromCentralGrid
inside_lvliang,1,2475.8988748168213
inside_lvliang,2,2470.2606311141153
inside_lvliang,3,2463.294665162408
inside_lvliang,4,2456.3286996304128
inside_lvliang,5,2449.3627339036507
inside_lvliang,6,2463.4225814944666
inside_lvliang,7,2477.4824295756143
inside_lvliang,8,2491.542277158328
inside_lvliang,9,2646.7371098832973
inside_lvliang,10,2785.4649906949403
inside_lvliang,11,2785.4649906949403
inside_lvliang,12,2785.4649906949403
inside_lvliang,13,2785.4649906949403
inside_lvliang,14,2785.4649906949403
inside_lvliang,15,2785.4649906949403
inside_lvliang,16,2785.4649906949403
inside_lvliang,17,2785.4649906949403
inside_lvliang,18,2785.4649906949403
inside_lvliang,19,2689.3177654428337
inside_lvliang,20,2669.92280876452
inside_lvliang,21,2600.675132312566
inside_lvliang,22,2584.0041481520593
inside_lvliang,23,2491.2083318901796
inside_lvliang,24,2481.537118309099
inside_lvliang,25,2487.119203803692
inside_lvliang,26,2480.10175625205
inside_lvliang,27,2472.760334695257
inside_lvliang,28,2465.41891304347
inside_lvliang,29,2458.077491591487
inside_lvliang,30,2473.066749658726
inside_lvliang,31,2506.0677141921915
inside_lvliang,32,2503.0452648932214
inside_lvliang,33,2645.71648203129
inside_lvliang,34,2785.4649906949403
inside_lvliang,35,2785.4649906949403
inside_lvliang,36,2785.4649906949403
inside_lvliang,37,2785.4649906949403
inside_lvliang,38,2785.4649906949403
inside_lvliang,39,2785.4649906949403
inside_lvliang,40,2785.4649906949403
inside_lvliang,41,2785.4649906949403
inside_lvliang,42,2785.4649906949403
inside_lvliang,43,2684.7619248457804
inside_lvliang,44,2669.92280876452
inside_lvliang,45,2600.675132312566
inside_lvliang,46,2584.0041481520593
inside_lvliang,47,2501.1540995781147
inside_lvliang,48,2379.1032837959515
inside_lvliang,49,2492.7992829738723
inside_lvliang,50,2489.231654500496
inside_lvliang,51,2379.3751236767416
inside_lvliang,52,2471.9905750958324
inside_lvliang,53,2463.3700355275205
inside_lvliang,54,2477.7374443673716
inside_lvliang,55,2492.1048544568444
inside_lvliang,56,2458.277321025633
inside_lvliang,57,2643.243416808238
inside_lvliang,58,2779.465950561317
inside_lvliang,59,2785.4649906949403
inside_lvliang,60,2785.4649906949403
inside_lvliang,61,2785.4649906949403
inside_lvliang,62,2785.4649906949403
inside_lvliang,63,2785.4649906949403
inside_lvliang,64,2785.4649906949403
inside_lvliang,65,2785.4649906949403
inside_lvliang,66,2785.4649906949403
inside_lvliang,67,2681.168951579514
inside_lvliang,68,2669.92280876452
inside_lvliang,69,2600.675132312566
inside_lvliang,70,2584.0041481520593
inside_lvliang,71,2499.934540064619
inside_lvliang,72,2513.1590584381725
inside_lvliang,73,2499.7356530413663
inside_lvliang,74,2488.791062309101
inside_lvliang,75,2453.3632549660033
inside_lvliang,76,2417.93544754141
inside_lvliang,77,2382.5076378087306
inside_lvliang,78,2394.9273647369646
inside_lvliang,79,2445.8295317852617
inside_lvliang,80,2419.7668166752846
inside_lvliang,81,2735.76638234808
inside_lvliang,82,2785.4649906949403
inside_lvliang,83,2785.4649906949403
inside_lvliang,84,2785.4649906949403
inside_lvliang,85,2785.4649906949403
inside_lvliang,86,2785.4649906949403
inside_lvliang,87,2785.4649906949403
inside_lvliang,88,2785.4649906949403
inside_lvliang,89,2785.4649906949403
inside_lvliang,90,2785.4649906949403
inside_lvliang,91,2785.4649906949403
inside_lvliang,92,2669.92280876452
inside_lvliang,93,2600.675132312566
inside_lvliang,94,2584.0041481520593
inside_lvliang,95,2521.6248335638056
inside_lvliang,96,2510.680242910271
outside_lvliang,1,1066.9560839550668
outside_lvliang,2,1066.9560839550668
outside_lvliang,3,1066.9560839550666
outside_lvliang,4,1066.9560839550668
