ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
inside_lvliang,1,-96.85974854847063
inside_lvliang,2,-84.74517033493294
inside_lvliang,3,-63.680758091200005
inside_lvliang,4,-37.88673944999937
inside_lvliang,5,-16.636644993242953
inside_lvliang,6,-5.921501324740348
inside_lvliang,7,-44.66926619189326
inside_lvliang,8,-133.72601653106358
inside_lvliang,9,15.280724059482537
inside_lvliang,10,113.51200618810842
inside_lvliang,11,196.3046181881082
inside_lvliang,12,209.11659318810825
inside_lvliang,13,196.58839518810828
inside_lvliang,14,299.5221171881085
inside_lvliang,15,322.0770791881082
inside_lvliang,16,295.2619691881082
inside_lvliang,17,242.73007118810844
inside_lvliang,18,34.82539218810825
inside_lvliang,19,-219.1188821256369
inside_lvliang,20,-280.9352111
inside_lvliang,21,-273.6488167
inside_lvliang,22,-271.8946587
inside_lvliang,23,-262.1304767
inside_lvliang,24,-133.36507496128343
inside_lvliang,25,-86.23409699790409
inside_lvliang,26,-75.42562482930862
inside_lvliang,27,-54.71676904359174
inside_lvliang,28,-29.27830734783356
inside_lvliang,29,-8.383769462861437
inside_lvliang,30,3.211525926813465
inside_lvliang,31,-17.599001659994883
inside_lvliang,32,-122.8326871461195
inside_lvliang,33,14.314189483631736
inside_lvliang,34,113.51200618810842
inside_lvliang,35,196.3046181881082
inside_lvliang,36,209.11659318810825
inside_lvliang,37,196.58839518810828
inside_lvliang,38,299.5221171881085
inside_lvliang,39,322.0770791881082
inside_lvliang,40,295.2619691881082
inside_lvliang,41,242.73007118810844
inside_lvliang,42,34.82539218810825
inside_lvliang,43,-223.4332631710463
inside_lvliang,44,-280.9352111
inside_lvliang,45,-273.6488167
inside_lvliang,46,-271.8946587
inside_lvliang,47,-252.71183469952575
inside_lvliang,48,-230.36991624523398
inside_lvliang,49,-80.85506202374336
inside_lvliang,50,-66.77961118803023
inside_lvliang,51,-143.15256387812587
inside_lvliang,52,-23.0549433842466
inside_lvliang,53,-3.3717303554381033
inside_lvliang,54,7.634673815900896
inside_lvliang,55,-30.821829829368653
inside_lvliang,56,-165.22792998872592
inside_lvliang,57,11.972196717401431
inside_lvliang,58,107.8309151815674
inside_lvliang,59,196.3046181881082
inside_lvliang,60,209.11659318810825
inside_lvliang,61,196.58839518810828
inside_lvliang,62,299.5221171881085
inside_lvliang,63,322.0770791881082
inside_lvliang,64,295.2619691881082
inside_lvliang,65,242.73007118810844
inside_lvliang,66,34.82539218810825
inside_lvliang,67,-226.83580885420042
inside_lvliang,68,-280.9352111
inside_lvliang,69,-273.6488167
inside_lvliang,70,-271.8946587
inside_lvliang,71,-253.86675755880606
inside_lvliang,72,-103.41909765905075
inside_lvliang,73,-74.28631956982645
inside_lvliang,74,-67.19685199328114
inside_lvliang,75,-73.08580354719516
inside_lvliang,76,-74.24514917828446
inside_lvliang,77,-79.94842099513198
inside_lvliang,78,-70.78647159409456
inside_lvliang,79,-74.64456039935749
inside_lvliang,80,-201.69737760850558
inside_lvliang,81,99.59144508363173
inside_lvliang,82,113.51200618810842
inside_lvliang,83,196.3046181881082
inside_lvliang,84,209.11659318810825
inside_lvliang,85,196.58839518810828
inside_lvliang,86,299.5221171881085
inside_lvliang,87,322.0770791881082
inside_lvliang,88,295.2619691881082
inside_lvliang,89,242.73007118810844
inside_lvliang,90,34.82539218810825
inside_lvliang,91,-128.0674598118917
inside_lvliang,92,-280.9352111
inside_lvliang,93,-273.6488167
inside_lvliang,94,-271.8946587
inside_lvliang,95,-233.3260496150765
inside_lvliang,96,-105.76653596397364
outside_lvliang,1,10.40741150544818
outside_lvliang,2,10.40741150544818
outside_lvliang,3,10.407411505447953
outside_lvliang,4,10.40741150544818
outside_lvliang,5,10.40741150544818
outside_lvliang,6,10.40741150544818
outside_lvliang,7,10.407411505447953
outside_lvliang,8,10.407411505447953
outside_lvliang,9,10.407411505447953
outside_lvliang,10,10.40741150544818
outside_lvliang,11,10.40741150544818
outside_lvliang,12,10.40741150544818
outside_lvliang,13,10.40741150544818
outside_lvliang,14,10.40741150544818
outside_lvliang,15,10.40741150544818
outside_lvliang,16,10.40741150544818
outside_lvliang,17,10.407411505447953
outside_lvliang,18,10.40741150544818
outside_lvliang,19,10.40741150544818
outside_lvliang,20,-100.0
outside_lvliang,21,-55.77090885741552
outside_lvliang,22,-59.11827939571151
outside_lvliang,23,6.7409581441572755
