PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,1744757802.0321631,30550324.752947997,57.110941246665476
2025,1773835099.7635148,30550324.752947997,58.06272483543226
2030,1776822455.394237,30550324.752947997,58.16050957765285
2035,1811165754.1663284,30550324.752947997,59.2846645268986
