GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
H2,2020,hydrogen,inside_lvliang,Hydrogen,0,0,.,0,0
H2,2025,hydrogen,inside_lvliang,Hydrogen,0,0,.,0,0
H2,2030,hydrogen,inside_lvliang,Hydrogen,0,0,.,0,0
H2,2035,hydrogen,inside_lvliang,Hydrogen,0,0,.,0,0
outside_coal,2020,outside,outside_lvliang,Coal,0,0,.,0,0
outside_coal,2025,outside,outside_lvliang,Coal,0,0,.,0,0
outside_coal,2030,outside,outside_lvliang,Coal,0,0,.,0,0
outside_coal,2035,outside,outside_lvliang,Coal,0,0,.,0,0
outside_coal_H2,2020,hydrogen_outside,outside_lvliang,Hydrogen,0,0,.,0,0
outside_coal_H2,2025,hydrogen_outside,outside_lvliang,Hydrogen,0,0,.,0,0
outside_coal_H2,2030,hydrogen_outside,outside_lvliang,Hydrogen,0,0,.,0,0
outside_coal_H2,2035,hydrogen_outside,outside_lvliang,Hydrogen,0,0,.,0,0
s1,2020,PV1,inside_lvliang,Solar,194.79,0,.,4.95525e+06,2.60045e+06
s1,2025,PV1,inside_lvliang,Solar,194.79,0,.,4.95525e+06,2.60045e+06
s1,2030,PV1,inside_lvliang,Solar,194.79,0,.,4.95525e+06,2.60045e+06
s1,2035,PV1,inside_lvliang,Solar,194.79,0,.,4.95525e+06,2.60045e+06
s10,2020,PV10,inside_lvliang,Solar,86.1842,0,.,2.19243e+06,1.15056e+06
s10,2025,PV10,inside_lvliang,Solar,86.1842,0,.,2.19243e+06,1.15056e+06
s10,2030,PV10,inside_lvliang,Solar,86.1842,0,.,2.19243e+06,1.15056e+06
s10,2035,PV10,inside_lvliang,Solar,86.1842,0,.,2.19243e+06,1.15056e+06
s11,2020,PV11,inside_lvliang,Solar,0.11216,0,.,2853.21,1497.33
s11,2025,PV11,inside_lvliang,Solar,0.11216,0,.,2853.21,1497.33
s11,2030,PV11,inside_lvliang,Solar,0.11216,0,.,2853.21,1497.33
s11,2035,PV11,inside_lvliang,Solar,0.11216,0,.,2853.21,1497.33
s2,2020,PV2,inside_lvliang,Solar,0.110988,0,.,2823.42,1481.7
s2,2025,PV2,inside_lvliang,Solar,0.110988,0,.,2823.42,1481.7
s2,2030,PV2,inside_lvliang,Solar,0.110988,0,.,2823.42,1481.7
s2,2035,PV2,inside_lvliang,Solar,1.1088,0,.,28206.6,14802.5
s3,2020,PV3,inside_lvliang,Solar,348.941,0,.,8.87667e+06,4.65836e+06
s3,2025,PV3,inside_lvliang,Solar,348.941,0,.,8.87667e+06,4.65836e+06
