timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,outside_coal,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
20200100,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200101,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,12.6623,0,0,0,0,0,0,0
20200102,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,123.191,0,0,0,0,0,0,0
20200103,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,114.902,0,0,0,0,0,0,0
20200104,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,385.065,0,0,0,0,0,0,0
20200105,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,387.81,0,0,0,0,0,0,0
20200106,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,277.133,0,0,0,0,0,0,0
20200107,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,550.887,0,0,0,0,0,0,0
20200108,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,548.735,0,0,0,0,0,0,0
20200109,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,441.747,0,0,0,0,0,0,0
202001010,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,178.897,0,0,0,0,0,0,0
202001011,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,340.791,0,0,0,0,0,0,0
202001012,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,36.6096,0,0,0,0,0,0,0
202001013,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001014,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001015,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,57.5223,0,0,0,0,0,0,0
202001016,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001017,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,41.7736,0,0,0,0,0,0,0
202001018,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,213.783,0,0,0,0,0,0,0
202001019,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,277.507,0,0,0,0,0,0,0
202001020,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,508.205,0,0,0,0,0,0,0
202001021,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,324.029,0,0,0,0,0,0,0
202001022,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,520.491,0,0,0,0,0,0,0
202001023,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,519.273,0,0,0,0,0,0,0
20250100,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250101,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,12.6623,0,0,0,0,0,0,0
20250102,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,123.191,0,0,0,0,0,0,0
20250103,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,114.902,0,0,0,0,0,0,0
20250104,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,385.065,0,0,0,0,0,0,0
20250105,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,222.157,0,0,0,0,0,0,0
20250106,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,442.786,0,0,0,0,0,0,0
20250107,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,550.887,0,0,0,0,0,0,0
20250108,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,383.083,0,0,0,0,0,0,0
20250109,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,423.904,0,0,0,0,0,0,0
20250110,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,196.74,0,0,0,0,0,0,0
20250111,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,183.211,0,0,0,0,0,0,0
20250112,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,188.368,0,0,0,0,0,0,0
20250113,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,79.6739,0,0,0,0,0,0,0
20250114,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250115,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250116,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250117,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,41.7736,0,0,0,0,0,0,0
20250118,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,213.783,0,0,0,0,0,0,0
20250119,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,277.507,0,0,0,0,0,0,0
20250120,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,500.133,0,0,0,0,0,0,0
20250121,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,481.61,0,0,0,0,0,0,0
20250122,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,532.116,0,0,0,0,0,0,0
20250123,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,398.513,0,0,0,0,0,0,0
20300100,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300101,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,36.3269,0,0,0,0,0,0,0
20300102,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300103,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,114.902,0,0,0,0,0,0,0
20300104,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,385.065,0,0,0,0,0,0,0
20300105,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,387.81,0,0,0,0,0,0,0
20300106,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,442.786,0,0,0,0,0,0,0
20300107,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,550.887,0,0,0,0,0,0,0
20300108,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,530.892,0,0,0,0,0,0,0
20300109,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,418.082,0,0,0,0,0,0,0
20300110,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,196.74,0,0,0,0,0,0,0
20300111,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,340.791,0,0,0,0,0,0,0
20300112,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,188.368,0,0,0,0,0,0,0
20300113,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,87.7456,0,0,0,0,0,0,0
20300114,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,55.8566,0,0,0,0,0,0,0
20300115,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
