GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
G106346,29,Coal,4653.095040000001
G106346,30,Coal,4653.095040000001
G106346,31,Coal,4653.095040000001
G106346,32,Coal,4653.095040000001
G106346,33,Coal,4653.095040000001
G106346,34,Coal,4653.095040000001
G106346,35,Coal,4653.095040000001
G106346,36,Coal,4653.095040000001
G106346,37,Coal,4653.095040000001
G106346,38,Coal,4653.095040000001
G106346,39,Coal,4653.095040000001
G106346,40,Coal,4653.095040000001
G106346,41,Coal,4653.095040000001
G106346,42,Coal,4653.095040000001
G106346,43,Coal,4653.095040000001
G106346,44,Coal,4653.095040000001
G106346,45,Coal,4653.095040000001
G106346,46,Coal,4653.095040000001
G106346,47,Coal,4653.095040000001
G106346,48,Coal,4653.095040000001
G106346,49,Coal,4653.09504
G106346,50,Coal,4653.09504
G106346,51,Coal,4653.09504
G106346,52,Coal,4653.09504
G106346,53,Coal,4653.09504
G106346,54,Coal,4653.09504
G106346,55,Coal,4653.09504
G106346,56,Coal,4653.09504
G106346,57,Coal,4653.09504
G106346,58,Coal,4653.09504
G106346,59,Coal,4653.09504
G106346,60,Coal,4653.09504
G106346,61,Coal,4653.09504
G106346,62,Coal,4653.09504
G106346,63,Coal,4653.09504
G106346,64,Coal,4653.09504
G106346,65,Coal,4653.09504
G106346,66,Coal,4653.09504
G106346,67,Coal,4653.09504
G106346,68,Coal,4653.09504
G106346,69,Coal,4653.09504
G106346,70,Coal,4653.09504
G106346,71,Coal,4653.09504
G106346,72,Coal,4653.09504
G106346,73,Coal,0.0
G106346,74,Coal,0.0
G106346,75,Coal,0.0
G106346,76,Coal,0.0
G106346,77,Coal,0.0
G106346,78,Coal,0.0
G106346,79,Coal,0.0
G106346,80,Coal,0.0
G106346,81,Coal,0.0
G106346,82,Coal,0.0
G106346,83,Coal,0.0
G106346,84,Coal,0.0
G106346,85,Coal,0.0
G106346,86,Coal,0.0
G106346,87,Coal,0.0
G106346,88,Coal,0.0
G106346,89,Coal,0.0
G106346,90,Coal,0.0
G106346,91,Coal,0.0
G106346,92,Coal,0.0
G106346,93,Coal,0.0
G106346,94,Coal,0.0
G106346,95,Coal,0.0
G106346,96,Coal,0.0
G106347,1,Coal,4653.09504
G106347,2,Coal,4653.09504
G106347,3,Coal,4653.09504
G106347,4,Coal,4653.09504
G106347,5,Coal,4653.09504
G106347,6,Coal,4653.09504
G106347,7,Coal,4653.09504
G106347,8,Coal,4653.09504
G106347,9,Coal,4653.09504
G106347,10,Coal,4653.09504
G106347,11,Coal,4653.09504
G106347,12,Coal,4653.09504
G106347,13,Coal,4653.09504
G106347,14,Coal,4653.09504
G106347,15,Coal,4653.09504
G106347,16,Coal,4653.09504
G106347,17,Coal,4653.09504
G106347,18,Coal,4653.09504
G106347,19,Coal,4653.09504
G106347,20,Coal,4653.09504
G106347,21,Coal,4653.09504
G106347,22,Coal,4653.09504
G106347,23,Coal,4653.09504
G106347,24,Coal,4653.09504
G106347,25,Coal,4653.095040000001
G106347,26,Coal,4653.095040000001
G106347,27,Coal,4653.095040000001
G106347,28,Coal,4653.095040000001
G106347,29,Coal,4653.095040000001
G106347,30,Coal,4653.095040000001
G106347,31,Coal,4653.095040000001
G106347,32,Coal,4653.095040000001
G106347,33,Coal,4653.095040000001
G106347,34,Coal,4653.095040000001
G106347,35,Coal,4653.095040000001
G106347,36,Coal,4653.095040000001
G106347,37,Coal,4653.095040000001
G106347,38,Coal,4653.095040000001
G106347,39,Coal,4653.095040000001
G106347,40,Coal,4653.095040000001
G106347,41,Coal,4653.095040000001
G106347,42,Coal,4653.095040000001
G106347,43,Coal,4653.095040000001
G106347,44,Coal,4653.095040000001
G106347,45,Coal,4653.095040000001
G106347,46,Coal,4653.095040000001
G106347,47,Coal,4653.095040000001
G106347,48,Coal,4653.095040000001
G106347,49,Coal,4653.09504
G106347,50,Coal,4653.09504
G106347,51,Coal,4653.09504
G106347,52,Coal,4653.09504
G106347,53,Coal,4653.09504
G106347,54,Coal,4653.09504
G106347,55,Coal,4653.09504
G106347,56,Coal,4653.09504
G106347,57,Coal,4653.09504
G106347,58,Coal,4653.09504
G106347,59,Coal,4653.09504
G106347,60,Coal,4653.09504
G106347,61,Coal,4653.09504
G106347,62,Coal,4653.09504
G106347,63,Coal,4653.09504
G106347,64,Coal,4653.09504
G106347,65,Coal,4653.09504
G106347,66,Coal,4653.09504
G106347,67,Coal,4653.09504
G106347,68,Coal,4653.09504
G106347,69,Coal,4653.09504
G106347,70,Coal,4653.09504
G106347,71,Coal,4653.09504
G106347,72,Coal,4653.09504
G106347,73,Coal,0.0
G106347,74,Coal,0.0
G106347,75,Coal,0.0
G106347,76,Coal,0.0
G106347,77,Coal,0.0
G106347,78,Coal,0.0
G106347,79,Coal,0.0
G106347,80,Coal,0.0
G106347,81,Coal,0.0
G106347,82,Coal,0.0
G106347,83,Coal,0.0
G106347,84,Coal,0.0
G106347,85,Coal,0.0
G106347,86,Coal,0.0
G106347,87,Coal,0.0
