component,npv_cost
CogenFixedCost,1184166800.011193
EmissionsCosts,0
FuelCostsPerTP,9097842443.045898
GenVariableOMCostsInTP,96785950.70532124
LocalTDFixedCosts,2457748226.337954
TotalGenFixedCosts,59045964464.63161
TxFixedCosts,465063.2417209229
