PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,5444882524.5385475,21784324.752947994,249.9449758616783
2025,5663036851.292465,21784324.752947994,259.9592558188478
2030,5663036851.292465,21784324.752947994,259.9592558188478
2035,6745127607.51147,21784324.752947994,309.63216367763135
