GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
s11,2025,PV11,inside_lvliang,Solar,0,0,0,0
s11,2030,PV11,inside_lvliang,Solar,0,0,0,0
s11,2035,PV11,inside_lvliang,Solar,0,0,0,0
s2,2020,PV2,inside_lvliang,Solar,0,0,0,0
s2,2025,PV2,inside_lvliang,Solar,0,0,0,0
s2,2030,PV2,inside_lvliang,Solar,0,0,0,0
s2,2035,PV2,inside_lvliang,Solar,1.1088,0,28206.6,14802.5
s3,2020,PV3,inside_lvliang,Solar,0,0,0,0
s3,2025,PV3,inside_lvliang,Solar,0,0,0,0
s3,2030,PV3,inside_lvliang,Solar,660.141,0,1.67933e+07,8.81289e+06
s3,2035,PV3,inside_lvliang,Solar,3130.35,0,7.96327e+07,4.17902e+07
s4,2020,PV4,inside_lvliang,Solar,0,0,0,0
s4,2025,PV4,inside_lvliang,Solar,0,0,0,0
s4,2030,PV4,inside_lvliang,Solar,0,0,0,0
s4,2035,PV4,inside_lvliang,Solar,644,0,1.63826e+07,8.5974e+06
s5,2020,PV5,inside_lvliang,Solar,0,0,0,0
s5,2025,PV5,inside_lvliang,Solar,0,0,0,0
s5,2030,PV5,inside_lvliang,Solar,0,0,0,0
s5,2035,PV5,inside_lvliang,Solar,0,0,0,0
s6,2020,PV6,inside_lvliang,Solar,0,0,0,0
s6,2025,PV6,inside_lvliang,Solar,0,0,0,0
s6,2030,PV6,inside_lvliang,Solar,0,0,0,0
s6,2035,PV6,inside_lvliang,Solar,0,0,0,0
s7,2020,PV7,inside_lvliang,Solar,0,0,0,0
s7,2025,PV7,inside_lvliang,Solar,0,0,0,0
s7,2030,PV7,inside_lvliang,Solar,0,0,0,0
s7,2035,PV7,inside_lvliang,Solar,0,0,0,0
s8,2020,PV8,inside_lvliang,Solar,0,0,0,0
s8,2025,PV8,inside_lvliang,Solar,0,0,0,0
s8,2030,PV8,inside_lvliang,Solar,0,0,0,0
s8,2035,PV8,inside_lvliang,Solar,0,0,0,0
s9,2020,PV9,inside_lvliang,Solar,0,0,0,0
s9,2025,PV9,inside_lvliang,Solar,0,0,0,0
s9,2030,PV9,inside_lvliang,Solar,0,0,0,0
s9,2035,PV9,inside_lvliang,Solar,0,0,0,0
w1,2020,wind1,inside_lvliang,Wind,1639.92,0,8.35129e+07,4.40319e+07
w1,2025,wind1,inside_lvliang,Wind,1639.92,0,8.35129e+07,4.40319e+07
w1,2030,wind1,inside_lvliang,Wind,1639.92,0,8.35129e+07,4.40319e+07
w1,2035,wind1,inside_lvliang,Wind,1639.92,0,8.35129e+07,4.40319e+07
w10,2020,wind10,inside_lvliang,Wind,0,0,0,0
w10,2025,wind10,inside_lvliang,Wind,0,0,0,0
w10,2030,wind10,inside_lvliang,Wind,0,0,0,0
w10,2035,wind10,inside_lvliang,Wind,0,0,0,0
w11,2020,wind11,inside_lvliang,Wind,0,0,0,0
w11,2025,wind11,inside_lvliang,Wind,0,0,0,0
w11,2030,wind11,inside_lvliang,Wind,0,0,0,0
w11,2035,wind11,inside_lvliang,Wind,0,0,0,0
w2,2020,wind2,inside_lvliang,Wind,0,0,0,0
w2,2025,wind2,inside_lvliang,Wind,0,0,0,0
w2,2030,wind2,inside_lvliang,Wind,0,0,0,0
w2,2035,wind2,inside_lvliang,Wind,0,0,0,0
w3,2020,wind3,inside_lvliang,Wind,0,0,0,0
w3,2025,wind3,inside_lvliang,Wind,0,0,0,0
w3,2030,wind3,inside_lvliang,Wind,0,0,0,0
w3,2035,wind3,inside_lvliang,Wind,3066.16,0,1.56144e+08,8.23264e+07
w4,2020,wind4,inside_lvliang,Wind,0,0,0,0
w4,2025,wind4,inside_lvliang,Wind,0,0,0,0
w4,2030,wind4,inside_lvliang,Wind,0,0,0,0
w4,2035,wind4,inside_lvliang,Wind,0,0,0,0
w5,2020,wind5,inside_lvliang,Wind,0,0,0,0
w5,2025,wind5,inside_lvliang,Wind,0,0,0,0
w5,2030,wind5,inside_lvliang,Wind,0,0,0,0
w5,2035,wind5,inside_lvliang,Wind,0,0,0,0
