PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,10338136246.062578,2387848932.4568343,15.632232729221089,152751623.76474
2025,8201474296.203983,2417703391.3980346,15.827677191318465,152751623.76474
2030,6526138931.591135,2455352793.880048,16.074151837898974,152751623.76474
2035,5467459248.629482,2625364672.562839,17.187147395606658,152751623.76474
