component,npv_cost
CogenFixedCost,1777732360.148872
EmissionsCosts,0
FuelCostsPerTP,12948324333.98835
GenVariableOMCostsInTP,134646725.0804355
LocalTDFixedCosts,3266528789.243247
TotalGenFixedCosts,12235458781.96267
TxFixedCosts,170517732.0635791
