PERIOD,AnnualEmissions_tCO2_per_yr,carbon_cap_tco2_per_yr,carbon_cap_dual_future_dollar_per_tco2,carbon_cost_dollar_per_tco2,carbon_cost_annual_total
2020,2.21872e+07,34526320,.,0,0
2025,2.19279e+07,28771933,.,0,0
2030,2.21883e+07,23017547,.,0,0
2035,1.72632e+07,17263160,.,0,0
