RecoveryDemand_index_1,RecoveryDemand_index_2,RecoveryDemand
outside_lvliang,86,42494.28828375588
outside_lvliang,87,42994.28828375588
outside_lvliang,88,43491.43242563382
outside_lvliang,89,43991.43242563382
outside_lvliang,90,44491.43242563382
outside_lvliang,91,44991.43242563382
outside_lvliang,92,45491.43242563382
outside_lvliang,93,46000.0
outside_lvliang,94,46500.0
outside_lvliang,95,47000.0
outside_lvliang,96,47500.0
