TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
inside_lvliang,outside_lvliang,1,1099.9648011263641
inside_lvliang,outside_lvliang,2,1099.9648011263641
inside_lvliang,outside_lvliang,3,1104.733790006321
inside_lvliang,outside_lvliang,4,1099.9648011263641
inside_lvliang,outside_lvliang,5,1099.9648011263641
inside_lvliang,outside_lvliang,6,1099.9648011263641
inside_lvliang,outside_lvliang,7,1099.9648011263641
inside_lvliang,outside_lvliang,8,1099.9648011263641
inside_lvliang,outside_lvliang,9,1099.9648011263641
inside_lvliang,outside_lvliang,10,1099.9648011263641
inside_lvliang,outside_lvliang,11,1099.9648011263641
inside_lvliang,outside_lvliang,12,1099.9648011263641
inside_lvliang,outside_lvliang,13,1099.9648011263641
inside_lvliang,outside_lvliang,14,1099.9648011263641
inside_lvliang,outside_lvliang,15,1104.733790006321
inside_lvliang,outside_lvliang,16,1099.9648011263641
inside_lvliang,outside_lvliang,17,1099.9648011263641
inside_lvliang,outside_lvliang,18,1099.9648011263641
inside_lvliang,outside_lvliang,19,1099.9648011263641
inside_lvliang,outside_lvliang,20,1099.9648011263641
inside_lvliang,outside_lvliang,21,1090.4268233664511
inside_lvliang,outside_lvliang,22,1099.9648011263641
inside_lvliang,outside_lvliang,23,1099.9648011263641
inside_lvliang,outside_lvliang,24,1099.9648011263641
inside_lvliang,outside_lvliang,25,1099.9648011263641
inside_lvliang,outside_lvliang,26,1099.9648011263641
inside_lvliang,outside_lvliang,27,1104.733790006321
inside_lvliang,outside_lvliang,28,1099.9648011263641
inside_lvliang,outside_lvliang,29,1099.9648011263641
inside_lvliang,outside_lvliang,30,1099.9648011263641
inside_lvliang,outside_lvliang,31,1099.9648011263641
inside_lvliang,outside_lvliang,32,1099.9648011263641
inside_lvliang,outside_lvliang,33,1104.733790006321
inside_lvliang,outside_lvliang,34,1099.9648011263641
inside_lvliang,outside_lvliang,35,1099.9648011263641
inside_lvliang,outside_lvliang,36,1099.9648011263641
inside_lvliang,outside_lvliang,37,1099.9648011263641
inside_lvliang,outside_lvliang,38,1104.733790006321
inside_lvliang,outside_lvliang,39,1099.9648011263641
inside_lvliang,outside_lvliang,40,1099.9648011263641
inside_lvliang,outside_lvliang,41,1099.9648011263641
inside_lvliang,outside_lvliang,42,1099.9648011263641
inside_lvliang,outside_lvliang,43,1099.9648011263641
inside_lvliang,outside_lvliang,44,1099.9648011263641
inside_lvliang,outside_lvliang,45,1085.657834486494
inside_lvliang,outside_lvliang,46,1099.9648011263641
inside_lvliang,outside_lvliang,47,1099.9648011263641
inside_lvliang,outside_lvliang,48,1099.9648011263641
inside_lvliang,outside_lvliang,49,1099.9648011263641
inside_lvliang,outside_lvliang,50,1099.9648011263641
inside_lvliang,outside_lvliang,51,1099.9648011263641
inside_lvliang,outside_lvliang,52,1099.9648011263641
inside_lvliang,outside_lvliang,53,1099.9648011263641
inside_lvliang,outside_lvliang,54,1099.9648011263641
inside_lvliang,outside_lvliang,55,1099.9648011263641
inside_lvliang,outside_lvliang,56,1099.9648011263641
inside_lvliang,outside_lvliang,57,1106.247487948916
inside_lvliang,outside_lvliang,58,1099.9648011263641
inside_lvliang,outside_lvliang,59,1099.9648011263641
inside_lvliang,outside_lvliang,60,1099.9648011263641
inside_lvliang,outside_lvliang,61,1099.9648011263641
inside_lvliang,outside_lvliang,62,1099.9648011263641
inside_lvliang,outside_lvliang,63,1106.247487948916
inside_lvliang,outside_lvliang,64,1099.9648011263641
inside_lvliang,outside_lvliang,65,1099.9648011263641
inside_lvliang,outside_lvliang,66,1099.9648011263641
inside_lvliang,outside_lvliang,67,1099.9648011263641
inside_lvliang,outside_lvliang,68,1099.9648011263641
inside_lvliang,outside_lvliang,69,1087.3994274812608
inside_lvliang,outside_lvliang,70,1099.9648011263641
inside_lvliang,outside_lvliang,71,1099.9648011263641
inside_lvliang,outside_lvliang,72,1099.9648011263641
inside_lvliang,outside_lvliang,73,1099.9648011263641
inside_lvliang,outside_lvliang,74,1106.247487948916
inside_lvliang,outside_lvliang,75,1099.9648011263641
inside_lvliang,outside_lvliang,76,1099.9648011263641
inside_lvliang,outside_lvliang,77,1099.9648011263641
inside_lvliang,outside_lvliang,78,1099.9648011263641
inside_lvliang,outside_lvliang,79,1099.9648011263641
inside_lvliang,outside_lvliang,80,1099.9648011263641
inside_lvliang,outside_lvliang,81,1106.247487948916
inside_lvliang,outside_lvliang,82,1099.9648011263641
inside_lvliang,outside_lvliang,83,1099.9648011263641
inside_lvliang,outside_lvliang,84,1099.9648011263641
inside_lvliang,outside_lvliang,85,1099.9648011263641
inside_lvliang,outside_lvliang,86,1099.9648011263641
inside_lvliang,outside_lvliang,87,1106.247487948916
inside_lvliang,outside_lvliang,88,1099.9648011263641
inside_lvliang,outside_lvliang,89,1099.9648011263641
inside_lvliang,outside_lvliang,90,1099.9648011263641
inside_lvliang,outside_lvliang,91,1099.9648011263641
inside_lvliang,outside_lvliang,92,1081.1167406587087
inside_lvliang,outside_lvliang,93,1099.9648011263641
inside_lvliang,outside_lvliang,94,1099.9648011263641
inside_lvliang,outside_lvliang,95,1099.9648011263641
inside_lvliang,outside_lvliang,96,1099.9648011263641
outside_lvliang,inside_lvliang,1,0.0
outside_lvliang,inside_lvliang,2,0.0
outside_lvliang,inside_lvliang,3,0.0
outside_lvliang,inside_lvliang,4,0.0
outside_lvliang,inside_lvliang,5,0.0
outside_lvliang,inside_lvliang,6,0.0
outside_lvliang,inside_lvliang,7,0.0
outside_lvliang,inside_lvliang,8,0.0
outside_lvliang,inside_lvliang,9,0.0
outside_lvliang,inside_lvliang,10,0.0
outside_lvliang,inside_lvliang,11,0.0
outside_lvliang,inside_lvliang,12,0.0
outside_lvliang,inside_lvliang,13,0.0
outside_lvliang,inside_lvliang,14,0.0
outside_lvliang,inside_lvliang,15,0.0
outside_lvliang,inside_lvliang,16,0.0
outside_lvliang,inside_lvliang,17,0.0
outside_lvliang,inside_lvliang,18,0.0
outside_lvliang,inside_lvliang,19,0.0
outside_lvliang,inside_lvliang,20,0.0
outside_lvliang,inside_lvliang,21,0.0
outside_lvliang,inside_lvliang,22,0.0
outside_lvliang,inside_lvliang,23,0.0
outside_lvliang,inside_lvliang,24,0.0
outside_lvliang,inside_lvliang,25,0.0
outside_lvliang,inside_lvliang,26,0.0
outside_lvliang,inside_lvliang,27,0.0
outside_lvliang,inside_lvliang,28,0.0
outside_lvliang,inside_lvliang,29,0.0
outside_lvliang,inside_lvliang,30,0.0
outside_lvliang,inside_lvliang,31,0.0
outside_lvliang,inside_lvliang,32,0.0
outside_lvliang,inside_lvliang,33,0.0
outside_lvliang,inside_lvliang,34,0.0
outside_lvliang,inside_lvliang,35,0.0
outside_lvliang,inside_lvliang,36,0.0
outside_lvliang,inside_lvliang,37,0.0
outside_lvliang,inside_lvliang,38,0.0
outside_lvliang,inside_lvliang,39,0.0
outside_lvliang,inside_lvliang,40,0.0
outside_lvliang,inside_lvliang,41,0.0
outside_lvliang,inside_lvliang,42,0.0
outside_lvliang,inside_lvliang,43,0.0
outside_lvliang,inside_lvliang,44,0.0
outside_lvliang,inside_lvliang,45,0.0
outside_lvliang,inside_lvliang,46,0.0
outside_lvliang,inside_lvliang,47,0.0
outside_lvliang,inside_lvliang,48,0.0
outside_lvliang,inside_lvliang,49,0.0
outside_lvliang,inside_lvliang,50,0.0
outside_lvliang,inside_lvliang,51,0.0
outside_lvliang,inside_lvliang,52,0.0
outside_lvliang,inside_lvliang,53,0.0
outside_lvliang,inside_lvliang,54,0.0
outside_lvliang,inside_lvliang,55,0.0
outside_lvliang,inside_lvliang,56,0.0
outside_lvliang,inside_lvliang,57,0.0
outside_lvliang,inside_lvliang,58,0.0
outside_lvliang,inside_lvliang,59,0.0
outside_lvliang,inside_lvliang,60,0.0
outside_lvliang,inside_lvliang,61,0.0
outside_lvliang,inside_lvliang,62,0.0
outside_lvliang,inside_lvliang,63,0.0
outside_lvliang,inside_lvliang,64,0.0
outside_lvliang,inside_lvliang,65,0.0
outside_lvliang,inside_lvliang,66,0.0
outside_lvliang,inside_lvliang,67,0.0
outside_lvliang,inside_lvliang,68,0.0
outside_lvliang,inside_lvliang,69,0.0
outside_lvliang,inside_lvliang,70,0.0
outside_lvliang,inside_lvliang,71,0.0
outside_lvliang,inside_lvliang,72,0.0
outside_lvliang,inside_lvliang,73,0.0
outside_lvliang,inside_lvliang,74,0.0
outside_lvliang,inside_lvliang,75,0.0
outside_lvliang,inside_lvliang,76,0.0
outside_lvliang,inside_lvliang,77,0.0
outside_lvliang,inside_lvliang,78,0.0
outside_lvliang,inside_lvliang,79,0.0
outside_lvliang,inside_lvliang,80,0.0
outside_lvliang,inside_lvliang,81,0.0
outside_lvliang,inside_lvliang,82,0.0
outside_lvliang,inside_lvliang,83,0.0
outside_lvliang,inside_lvliang,84,0.0
outside_lvliang,inside_lvliang,85,0.0
outside_lvliang,inside_lvliang,86,0.0
outside_lvliang,inside_lvliang,87,0.0
outside_lvliang,inside_lvliang,88,0.0
outside_lvliang,inside_lvliang,89,0.0
outside_lvliang,inside_lvliang,90,0.0
outside_lvliang,inside_lvliang,91,0.0
outside_lvliang,inside_lvliang,92,0.0
outside_lvliang,inside_lvliang,93,0.0
outside_lvliang,inside_lvliang,94,0.0
outside_lvliang,inside_lvliang,95,0.0
outside_lvliang,inside_lvliang,96,0.0
