LOAD_ZONE,DATE,export_hydrogen
inside_lvliang,2020_01,0
inside_lvliang,2025_01,0
inside_lvliang,2030_01,0
inside_lvliang,2035_01,0
outside_lvliang,2020_01,0
outside_lvliang,2025_01,0
outside_lvliang,2030_01,0
outside_lvliang,2035_01,0
