shift_demand_abs_index_1,shift_demand_abs_index_2,shift_demand_abs
outside_lvliang,74,31.000030999999996
outside_lvliang,75,3.1e-05
outside_lvliang,76,3.1e-05
outside_lvliang,77,3.1e-05
outside_lvliang,78,3.1e-05
outside_lvliang,79,3.1e-05
outside_lvliang,80,31.000030999999996
outside_lvliang,81,3.1e-05
outside_lvliang,82,3.1e-05
outside_lvliang,83,3.1e-05
outside_lvliang,84,3.1e-05
outside_lvliang,85,3.1e-05
outside_lvliang,86,31.000030999999996
outside_lvliang,87,3.1e-05
outside_lvliang,88,3.1e-05
outside_lvliang,89,3.1e-05
outside_lvliang,90,3.1e-05
outside_lvliang,91,3.1e-05
outside_lvliang,92,31.000030999999996
outside_lvliang,93,3.1e-05
outside_lvliang,94,3.1e-05
outside_lvliang,95,3.1e-05
outside_lvliang,96,3.1e-05
