load_zone,timestamp,component,injects_or_withdraws,value
inside_lvliang,21,RecoveryDemand,withdraws,37.843807735
inside_lvliang,21,ShiftDemand,withdraws,-0.0
inside_lvliang,21,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,21,zone_demand_mw,withdraws,-2736.488167
inside_lvliang,22,InjectIntoDistributedGrid,injects,2718.946587
inside_lvliang,22,RecoveryDemand,withdraws,-0.0
inside_lvliang,22,ShiftDemand,withdraws,-0.0
inside_lvliang,22,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,22,zone_demand_mw,withdraws,-2718.946587
inside_lvliang,23,InjectIntoDistributedGrid,injects,2621.304767
inside_lvliang,23,RecoveryDemand,withdraws,-0.0
inside_lvliang,23,ShiftDemand,withdraws,-0.0
inside_lvliang,23,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,23,zone_demand_mw,withdraws,-2621.304767
inside_lvliang,24,InjectIntoDistributedGrid,injects,2483.3807260000003
inside_lvliang,24,RecoveryDemand,withdraws,-0.0
inside_lvliang,24,ShiftDemand,withdraws,-0.0
inside_lvliang,24,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,24,zone_demand_mw,withdraws,-2483.380726
inside_lvliang,25,InjectIntoDistributedGrid,injects,2441.535983
inside_lvliang,25,RecoveryDemand,withdraws,-0.0
inside_lvliang,25,ShiftDemand,withdraws,-0.0
inside_lvliang,25,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,25,zone_demand_mw,withdraws,-2441.535983
inside_lvliang,26,InjectIntoDistributedGrid,injects,2424.081988
inside_lvliang,26,RecoveryDemand,withdraws,-0.0
inside_lvliang,26,ShiftDemand,withdraws,-0.0
inside_lvliang,26,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,26,zone_demand_mw,withdraws,-2424.081988
inside_lvliang,27,InjectIntoDistributedGrid,injects,2396.420806
inside_lvliang,27,RecoveryDemand,withdraws,-0.0
inside_lvliang,27,ShiftDemand,withdraws,-0.0
inside_lvliang,27,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,27,zone_demand_mw,withdraws,-2396.420806
inside_lvliang,28,InjectIntoDistributedGrid,injects,2364.030018
inside_lvliang,28,RecoveryDemand,withdraws,-0.0
inside_lvliang,28,ShiftDemand,withdraws,-0.0
inside_lvliang,28,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,28,zone_demand_mw,withdraws,-2364.030018
inside_lvliang,29,InjectIntoDistributedGrid,injects,2336.183154
inside_lvliang,29,RecoveryDemand,withdraws,-0.0
inside_lvliang,29,ShiftDemand,withdraws,-0.0
inside_lvliang,29,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,29,zone_demand_mw,withdraws,-2336.183154
inside_lvliang,30,InjectIntoDistributedGrid,injects,2338.782686
inside_lvliang,30,RecoveryDemand,withdraws,-0.0
inside_lvliang,30,ShiftDemand,withdraws,-0.0
inside_lvliang,30,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,30,zone_demand_mw,withdraws,-2338.782686
inside_lvliang,31,InjectIntoDistributedGrid,injects,2390.845127
inside_lvliang,31,RecoveryDemand,withdraws,-0.0
inside_lvliang,31,ShiftDemand,withdraws,-0.0
inside_lvliang,31,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,31,zone_demand_mw,withdraws,-2390.845127
inside_lvliang,32,InjectIntoDistributedGrid,injects,2568.9041684700005
inside_lvliang,32,RecoveryDemand,withdraws,-0.0
inside_lvliang,32,ShiftDemand,withdraws,-75.68761547
inside_lvliang,32,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,32,zone_demand_mw,withdraws,-2493.216553
inside_lvliang,33,InjectIntoDistributedGrid,injects,2529.0231267349996
inside_lvliang,33,RecoveryDemand,withdraws,-37.843807735
inside_lvliang,33,ShiftDemand,withdraws,-0.0
inside_lvliang,33,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,33,zone_demand_mw,withdraws,-2491.179319
inside_lvliang,34,InjectIntoDistributedGrid,injects,2524.3233400000004
inside_lvliang,34,RecoveryDemand,withdraws,-0.0
inside_lvliang,34,ShiftDemand,withdraws,-0.0
inside_lvliang,34,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,34,zone_demand_mw,withdraws,-2524.32334
inside_lvliang,35,InjectIntoDistributedGrid,injects,2441.5307280000006
inside_lvliang,35,RecoveryDemand,withdraws,-0.0
inside_lvliang,35,ShiftDemand,withdraws,-0.0
inside_lvliang,35,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,35,zone_demand_mw,withdraws,-2441.530728
inside_lvliang,36,InjectIntoDistributedGrid,injects,2428.7187530000006
inside_lvliang,36,RecoveryDemand,withdraws,-0.0
inside_lvliang,36,ShiftDemand,withdraws,-0.0
inside_lvliang,36,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,36,zone_demand_mw,withdraws,-2428.718753
inside_lvliang,37,InjectIntoDistributedGrid,injects,2441.2469510000005
inside_lvliang,37,RecoveryDemand,withdraws,-0.0
inside_lvliang,37,ShiftDemand,withdraws,-0.0
inside_lvliang,37,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,37,zone_demand_mw,withdraws,-2441.246951
inside_lvliang,38,InjectIntoDistributedGrid,injects,2338.3132290000003
inside_lvliang,38,RecoveryDemand,withdraws,-0.0
inside_lvliang,38,ShiftDemand,withdraws,-0.0
inside_lvliang,38,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,38,zone_demand_mw,withdraws,-2338.313229
inside_lvliang,39,InjectIntoDistributedGrid,injects,2315.7582670000006
inside_lvliang,39,RecoveryDemand,withdraws,-0.0
inside_lvliang,39,ShiftDemand,withdraws,-0.0
inside_lvliang,39,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,39,zone_demand_mw,withdraws,-2315.758267
inside_lvliang,40,InjectIntoDistributedGrid,injects,2342.573377
inside_lvliang,40,RecoveryDemand,withdraws,-0.0
inside_lvliang,40,ShiftDemand,withdraws,-0.0
inside_lvliang,40,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,40,zone_demand_mw,withdraws,-2342.573377
inside_lvliang,41,InjectIntoDistributedGrid,injects,2395.1052750000003
inside_lvliang,41,RecoveryDemand,withdraws,-0.0
inside_lvliang,41,ShiftDemand,withdraws,-0.0
