GEN_TPS_1,GEN_TPS_2,DispatchGen
G106349,68,242.88
G106349,69,242.88
G106349,70,242.88
G106349,71,242.88
G106349,72,242.88
G106349,73,242.88000000000005
G106349,74,242.88000000000005
G106349,75,242.88000000000005
G106349,76,242.88000000000005
G106349,77,242.88000000000005
G106349,78,242.88000000000005
G106349,79,242.88000000000005
G106349,80,242.88000000000005
G106349,81,242.88000000000005
G106349,82,242.88000000000005
G106349,83,242.88000000000005
G106349,84,242.88000000000005
G106349,85,242.88000000000005
G106349,86,242.88000000000005
G106349,87,242.88000000000005
G106349,88,242.88000000000005
G106349,89,242.88000000000005
G106349,90,242.88000000000005
G106349,91,242.88000000000005
G106349,92,242.88000000000005
G106349,93,242.88000000000005
G106349,94,242.88000000000005
G106349,95,242.88000000000005
G106349,96,242.88000000000005
G106470,1,283.36
G106470,2,283.36
G106470,3,283.36
G106470,4,283.36
G106470,5,283.36
G106470,6,283.36
G106470,7,283.36
G106470,8,283.36
G106470,9,283.36
G106470,10,283.36
G106470,11,283.36
G106470,12,283.36
G106470,13,283.36
G106470,14,283.36
G106470,15,283.36
G106470,16,283.36
G106470,17,283.36
G106470,18,283.36
G106470,19,283.36
G106470,20,283.36
G106470,21,283.36
G106470,22,283.36
G106470,23,283.36
G106470,24,283.36
G106470,25,283.36
G106470,26,283.36
G106470,27,283.36
G106470,28,283.36
G106470,29,283.36
G106470,30,283.36
G106470,31,283.36
G106470,32,283.36
G106470,33,283.36
G106470,34,283.36
G106470,35,283.36
G106470,36,283.36
G106470,37,283.36
G106470,38,283.36
G106470,39,283.36
G106470,40,283.36
G106470,41,283.36
G106470,42,283.36
G106470,43,283.36
G106470,44,283.36
G106470,45,283.36
G106470,46,283.36
G106470,47,283.36
G106470,48,283.36
G106470,49,283.36
G106470,50,283.36
G106470,51,283.36
G106470,52,283.36
G106470,53,283.36
G106470,54,283.36
G106470,55,283.36
G106470,56,283.36
G106470,57,283.36
G106470,58,283.36
G106470,59,283.36
G106470,60,283.36
G106470,61,283.36
G106470,62,283.36
G106470,63,283.36
G106470,64,283.36
G106470,65,283.36
G106470,66,283.36
G106470,67,283.36
G106470,68,283.36
G106470,69,283.36
G106470,70,283.36
G106470,71,283.36
G106470,72,283.36
G106470,73,283.36
G106470,74,283.36
G106470,75,283.36
G106470,76,283.36
G106470,77,283.36
G106470,78,283.36
G106470,79,283.36
G106470,80,283.36
G106470,81,283.36
G106470,82,283.36
G106470,83,283.36
G106470,84,283.36
G106470,85,283.36
G106470,86,283.36
G106470,87,283.36
G106470,88,283.36
G106470,89,283.36
G106470,90,283.36
G106470,91,283.36
G106470,92,283.36
G106470,93,283.36
G106470,94,283.36
G106470,95,283.36
G106470,96,283.36
G106471,1,283.36
G106471,2,283.36
G106471,3,283.36
G106471,4,283.36
G106471,5,283.36
G106471,6,283.36
G106471,7,283.36
G106471,8,283.36
G106471,9,283.36
G106471,10,283.36
G106471,11,283.36
G106471,12,283.36
G106471,13,283.36
G106471,14,283.36
G106471,15,283.36
G106471,16,283.36
G106471,17,283.36
G106471,18,283.36
G106471,19,283.36
G106471,20,283.36
G106471,21,283.36
G106471,22,283.36
G106471,23,283.36
G106471,24,283.36
G106471,25,283.36
G106471,26,283.36
G106471,27,283.36
G106471,28,283.36
