PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,1880606283.8375065,30550324.752947997,61.5576527924154
2025,1901222947.1514003,30550324.752947997,62.232495481670426
2030,1910000622.9573586,30550324.752947997,62.51981405772292
2035,1979011208.0954354,30550324.752947997,64.77872900203681
