Recovery_Demand_Constraint_index_1,Recovery_Demand_Constraint_index_2,Relax_Recovery_Demand_Constraint_down
inside_lvliang,1,2444.888324745
inside_lvliang,2,2403.692175265
inside_lvliang,3,2386.508717185
inside_lvliang,4,2359.2762835050003
inside_lvliang,5,2327.38755272
inside_lvliang,6,2299.9723151149997
inside_lvliang,7,2302.531554365
inside_lvliang,8,2353.78702753
inside_lvliang,9,1385.2932534172373
inside_lvliang,10,2452.566039555
inside_lvliang,11,2485.19632823
inside_lvliang,12,2403.687001715
inside_lvliang,13,2391.0736123300003
inside_lvliang,14,2403.40762326
inside_lvliang,15,2302.0693739499998
inside_lvliang,16,2279.8640138600003
inside_lvliang,17,2306.2634896550003
inside_lvliang,18,2357.9811432349998
inside_lvliang,19,420.3233794964158
inside_lvliang,20,2723.031312505
inside_lvliang,21,2765.80715328
inside_lvliang,22,2694.07260041
inside_lvliang,23,2676.8029149
inside_lvliang,24,2580.6745431100003
inside_lvliang,25,1920.0670190689993
inside_lvliang,26,1900.995714666618
inside_lvliang,27,1888.4385408876133
inside_lvliang,28,1861.2494015453826
inside_lvliang,29,1833.8070278375794
inside_lvliang,30,1656.471984707383
inside_lvliang,31,1557.0409783512018
inside_lvliang,32,1555.0556105153164
inside_lvliang,33,649.5483168739202
inside_lvliang,34,2452.566039555
inside_lvliang,35,2485.19632823
inside_lvliang,36,2403.687001715
inside_lvliang,37,2391.0736123300003
inside_lvliang,38,2403.40762326
inside_lvliang,39,2302.0693739499998
inside_lvliang,40,2279.8640138600003
inside_lvliang,41,2306.2634896550003
inside_lvliang,42,2357.9811432349998
inside_lvliang,43,123.14028990857287
inside_lvliang,44,1878.344347508806
inside_lvliang,45,2176.792426332768
inside_lvliang,46,2160.5853133713313
inside_lvliang,47,2248.1020206311914
inside_lvliang,48,2057.3630221111625
inside_lvliang,49,2356.28759162976
inside_lvliang,50,2277.7975108578717
inside_lvliang,51,2300.3834678138824
inside_lvliang,52,2308.337461518825
inside_lvliang,53,2316.038220308049
inside_lvliang,54,2142.770244276366
inside_lvliang,55,2047.4062939103005
inside_lvliang,56,2049.4879968752884
inside_lvliang,57,1026.3613400785885
inside_lvliang,58,2452.566039555
inside_lvliang,59,2485.19632823
inside_lvliang,60,2403.687001715
inside_lvliang,61,2391.0736123300003
inside_lvliang,62,2403.40762326
inside_lvliang,63,2302.0693739499998
inside_lvliang,64,2279.8640138600003
inside_lvliang,65,2306.2634896550003
inside_lvliang,66,2357.9811432349998
inside_lvliang,67,1075.7739524352241
inside_lvliang,68,2365.517908128116
inside_lvliang,69,2513.643594477237
inside_lvliang,70,2600.8662590678096
inside_lvliang,71,2664.9366538110494
inside_lvliang,72,2460.853377339668
inside_lvliang,73,2444.888324745
inside_lvliang,74,2403.692175265
inside_lvliang,75,2386.508717185
