load_zone,period,timepoint_label,Coal,Hydrogen,Wind,Solar,PV1,PV10,PV11,PV2,PV3,PV4,PV5,PV6,PV7,PV8,PV9,wind1,wind10,wind11,wind2,wind3,wind4,wind5,wind6,wind7,wind8,wind9,curtail_Wind,curtail_Solar,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid,RunElectrolyzerMW,LiquefyHydrogenMW,zone_demand_mw,ShiftDemand,RecoveryDemand,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
inside_lvliang,2020,20200100,2611.7609446048336,0,341.7352821799632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.09075161629517,0.0,1.9698996530489272,1.4901097277276427,57.53065592771102,0.0,38.25595638823433,14.7165473366504,0.0,13.681361530295677,0.0,171.74928176211375,0.0,2953.4962267847964,-1099.9648011263644,724.9034332606,2578.179496304119,0.25536261491317663,0.0,2441.535983,0.0,0.0,0.0,0.0,0.0,typical
inside_lvliang,2020,20200101,2611.7609446048336,0,473.0885492464885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.4907722861429,3.8143380083148286,1.9217512828188987,1.4145446309209815,55.43634693208461,3.482780409503157,5.404940004478249,14.446964191240337,10.130823269226852,13.530716840373538,20.01457139138413,31.57342562766124,0.0,3084.8494938513213,-1099.9648011263644,575.1193372605999,2559.7486673706444,0.25536261491317663,0.0,2424.081988,0.0,0.0,0.0,0.0,0.0,typical
inside_lvliang,2020,20200102,2611.7609446048336,0,435.9451957512408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0861581177278,0.0,0.0,0.0,53.44483645798411,3.246260084785035,35.54343788962482,13.972614398060928,9.694806492085204,13.41780429500928,19.5392780159636,49.065243987271735,0.0,3047.7061403560742,-1099.9648011263644,583.0534172605999,2530.5393938753964,0.25536261491317663,0.0,2396.420806,0.0,0.0,0.0,0.0,0.0,typical
inside_lvliang,2020,20200103,2611.7609446048336,0,465.3589050225889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.9675914454933,3.6220351139344715,1.8519116078484372,1.2198597703581995,51.45332598388361,3.009739704564407,34.10851052201568,13.498264604881516,9.258789714943557,13.304891914122608,19.063984640543065,-3.774758283725532e-15,0.0,3077.1198496274224,-1104.1946231087898,523.6661243750553,2496.335988278775,0.25536261491317663,0.0,2364.030018,0.0001628999999923053,0.0,0.0,0.0,0.0,typical
inside_lvliang,2020,20200104,2611.7609446048336,0,445.70737156184003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.706002655249,3.5258836467678716,1.8169917703632066,1.1225173279696872,49.4618155097831,2.7732193243437786,32.67358277950098,13.023914811702102,8.82277293780191,13.191979533235937,18.588691265122538,3.9968028886505635e-15,0.0,3057.4683161666735,-1102.079712117577,511.79731342326147,2466.930554857445,0.25536261491317663,0.0,2336.183154,0.0,8.144999999615266e-05,0.0,0.0,0.0,typical
inside_lvliang,2020,20200105,2611.7609446048336,0,432.64838802179236,17.324948654473044,2.0824775195665097,1.4963451857634311,0.0020134933314264456,0.001897180610531588,6.129434265930173,1.1018978338953356,3.5335115956662304,0.0018705604699258496,0.8431270162607954,1.7795771706645496,0.35279683231413606,290.9485951945239,3.4569429012988144,1.7465518334100578,1.1115013003689713,47.42054920270686,2.7370879140025965,32.01723900999491,12.763033411300485,8.689076174002333,13.667099679016225,18.09071140116719,6.439293542825908e-15,1.114747558702216,3061.7342812810994,-1099.9648011263644,508.1613692605999,2469.6754868004227,0.25536261491317663,0.0,2338.782686,0.0,0.0,0.0,0.0,0.0,typical
inside_lvliang,2020,20200106,2611.7609446048336,0,393.17807481612095,36.87939231843445,6.394450156537455,2.9926903715268622,0.004026986662852891,0.0037943611122945343,12.258868531860346,2.203795604616965,7.067023191332461,0.003741120939851699,1.6862540785285292,3.559154250688564,0.7055936646282721,281.1911877337987,3.3880021957825974,1.6761119129204851,1.1004852485540129,18.967952968562713,2.7009565036614145,31.360895240488844,12.502152010898865,8.555379321505075,14.14221998927409,17.592731690674164,26.411330263870404,-3.9968028886505635e-15,3041.8184117393894,-1099.9648011263644,583.0534172605999,2524.651665258712,0.25536261491317663,0.0,2390.845127,0.0,0.0,0.0,0.0,0.0,typical
inside_lvliang,2020,20200107,2611.7609446048336,0,260.6923823292034,52.789707436820386,9.591675234806184,4.489035557290294,0.006040479994279337,0.005691541722826122,18.38830279779052,3.3056934385123005,10.60053478699869,0.005611681409777548,0.0,5.338731421353113,1.0583904969424083,130.52047451318003,0.0,0.0,1.0894691967390542,43.338016925356875,2.664825093320232,30.704551470982768,12.241270698843424,8.42168246900782,14.617340135054375,17.094751826718817,145.83803920263804,2.5293810947893185,2925.2430343708575,-1099.9648011263644,807.7295612605999,2632.75243189018,0.25536261491317663,0.0,2493.216553,0.0,0.0,0.0,0.0,0.0,typical
inside_lvliang,2020,20200108,2611.7609446048336,0,369.6134295874935,174.32763391453835,31.483658892706465,14.3948685944822,0.018901225132119514,0.018212414447331193,57.90753885265252,10.577917525677886,32.45674997454683,0.0181940236445074,7.889821130502516,16.167859174081546,3.39391210666444,304.3881133643904,0.0,0.0,0.0,0.0,0.0,0.0,15.89037709944178,10.689083633445522,17.92376539915282,20.722090091062945,112.42903238749021,-1.7763568394002505e-15,3155.702008106865,-1099.9648011263644,575.1193372605999,2630.601181626188,0.25536261491317663,0.0,2491.179319,0.0,0.0,0.0,0.0,0.0,typical
inside_lvliang,2020,20200109,2611.7609446048336,0,212.8872431637777,287.4564805297603,53.349158425842575,24.288377071240003,0.031745320139304575,0.030717552265038917,97.37576272330305,17.841002651787104,54.28352492673716,0.030760898984263756,13.24324681037841,26.98218414908339,0.0,64.95017437793604,0.0,2.2191223367376294,2.0187885155083243,60.611466174962636,4.855247505689348,0.0,19.566552680198132,13.006222465843637,21.31306154243698,24.346607564464993,346.004114498442,5.726527925715843,3112.104668298372,-1104.1946231087898,657.9454652605998,2665.6001478352696,0.25536261491317663,0.0,2524.32334,0.0,0.0,0.0,0.0,0.0,typical
